"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"histoire";1;1;0,001;1;0
"genève";1;1;1;0;1
"sortir";1;1;1;1;0
"trump";1;1;0;1;1
"génocide";1;1;0;1;1
"défendre";1;1;0;1;0,335
"israélien";1;1;0;1;1
"perdre";1;1;1;0,001;0,006
"prix";1;1;1;0;1
"finir";1;1;1;0;1
"écrire";1;1;1;1;0
"emji_mains_en_prière";0;1;1;1;1
"attendre";1;1;0,571;1;0
"emji_visage_faisant_un_clin_d_oeil";1;1;1;1;0
"servir";1;1;1;0,128;0
"mort";1;1;0;1;1
"gouvernement";1;1;0;1;1
"otage";1;1;0;1;1
"montrer";1;1;1;1;0
"emji_visage_en_pleine_réflexion";1;1;1;1;0,02
"emji_drapeau_suisse";0;1;1;1;1
"jeune";1;1;1;1;0
"nouveau";1;1;1;0;0,429
"gros";1;1;1;0;1
"côté";1;1;1;0,156;0,004
"simplement";1;1;1;0;0,036
"service";1;1;1;0;0,015
"meilleur";0,221;1;1;0,003;0,309
"revenir";1;1;1;0;1
"oublier";1;1;0,001;0;1
"europe";1;1;0;0,198;1
"espérer";1;1;1;1;0
"réalité";1;1;1;1;0
"assurance";1;1;1;0;1
"agir";1;1;0,037;1;0
"créer";1;1;1;0;1
"ville";1;1;1;0;1
"emji_visage_boudeur";1;0;0,688;1;1
"manquer";1;1;1;0,572;0
"pauvre";1;1;1;0;1
"animal";1;1;1;1;0
"justice";1;1;0;1;0,032
"fin";1;1;0,012;0,959;0,012
"respecter";1;1;0;1;0,139
"santé";1;1;1;0;1
"situation";1;1;1;1;0
"protéger";1;1;1;1;0
"justement";1;1;1;1;0
"emji_visage_roulant_des_yeux";1;0;1;1;1
"seulement";1;1;1;0;1
"rapport";1;1;1;1;0
"frontalier";1;1;1;0;1
"appeler";1;1;0,001;1;0
"augmenter";1;1;1;0;1
"école";1;1;1;0,045;0
"extrême";1;1;1;1;0
"mot";1;1;0,003;1;0
"normal";1;1;1;0;1
"heure";1;1;1;0;1
"dernier";1;1;0,112;1;0
"mois";1;1;1;0;1
"essayer";1;1;1;1;0
"policier";1;1;1;1;0
"chercher";1;1;1;0,672;0
"gagner";1;1;1;0;1
"malheureusement";1;1;0,393;1;0
"terroriste";1;1;0;1;1
"solution";1;1;0,971;0;0,513
"liberté";1;1;1;1;0
"civil";1;1;0;1;1
"canton";1;1;1;0;1
"étranger";1;1;1;0,002;0,004
"pire";1;1;0,141;0,002;1
"manière";1;1;1;1;0
"expliquer";1;1;1;0,17;0,02
"argument";1;1;1;1;0
"emji_drapeau_territoires_palestiniens";0;1;0;1;1
"aide";1;1;0;0,163;1
"simple";1;1;1;0,002;0,02
"apprendre";1;1;1;1;0
"triste";1;1;1;1;0
"international";1;1;0;1;1
"ouvrir";1;1;1;1;0
"étude";1;1;1;0;0,024
"honte";1;1;0,464;1;0
"bas";1;1;1;0;1
"acheter";1;1;1;0;1
"possible";1;1;1;0;1
"propre";1;1;1;1;0
"avis";1;1;1;1;0
"façon";1;1;1;0,845;0
"voter";1;1;1;0,717;0
"terre";1;1;0;1;1
"sécurité";1;1;1;0,213;0,001
"interdire";1;1;1;0;0,099
"mauvais";1;1;1;1;0
"voiture";1;1;1;0;1
"super";1;0,023;1;0;1
"choix";1;1;1;0,021;0,002
"initiative";1;1;1;0,063;0
"égalité";1;1;1;1;0
"respect";1;1;0,76;1;0
"répondre";1;1;1;1;0
"foutre";1;1;1;1;0
"terme";1;1;0,267;1;0
"mériter";1;1;0,461;0,541;0,199
"équipe";0,752;1;1;0,786;0,04
"majorité";1;1;1;0;0,147
"important";1;1;1;1;0
"sembler";1;1;0,701;0,153;0,028
"victime";1;1;0;1;0
"taxe";1;1;1;0;1
"entendre";1;1;0,273;1;0
"risque";1;1;1;0;1
"classe";1;1;1;0;1
"également";1;1;0,333;0;1
"israel";1;1;0;1;1
"feu";1;1;0;1;1
"pareil";1;1;1;0;0,171
"manifestant";1;1;0;1;0
"maladie";1;1;1;0;1
"occuper";1;1;0,003;0,009;1
"baisser";1;1;1;0;1
"absolument";1;1;1;1;0
"nombre";1;1;0,415;0;1
"manger";1;1;1;0;1
"taxer";1;1;1;0;1
"nouvelle";1;1;1;0;1
"effet";1;1;1;0;0,435
"arme";1;1;0;1;1
"emji_visage_avec_des_symboles_dans_la_bouche";1;0;1;1;1
"crime";1;1;0;1;1
"poser";1;1;1;1;0
"exactement";1;1;1;1;0
"base";1;1;1;0,006;0,023
"éviter";1;1;1;0;0,393
"valoir";1;1;1;0;1
"retrouver";1;1;1;0,007;0,088
"suivre";1;1;1;1;0
"parent";1;1;1;0,001;0
"langue";1;1;1;1;0
"source";1;1;1;1;0
"info";1;0,741;1;1;0
"citoyen";1;1;1;1;0
"eau";1;1;1;0;1
"train";1;1;1;0;1
"suffire";1;1;1;0,008;0,027
"rue";1;1;0,029;1;0
"jouer";1;1;1;1;0
"garder";1;1;1;0;0,68
"représenter";1;1;0,391;0,082;0,482
"préférer";1;1;1;0;1
"groupe";1;1;0;1;0,631
"reconnaître";1;1;0;1;1
"face";1;1;0,252;1;0
"profiter";1;1;1;0;1
"couper";1;1;1;0;1
"clairement";1;1;1;1;0
"ultra";1;1;1;0;1
"oeil";1;1;0,039;1;0
"haine";1;1;0;1;0
"média";1;1;0,013;1;0
"courage";0;1;1;1;0,763
"réponse";1;1;1;1;0
"peur";1;1;1;1;0
"européen";1;1;0;1;0,43
"imaginer";1;1;1;0;0,594
"fortune";1;1;1;0;1
"ia";1;1;1;1;0
"logique";1;1;1;0;0,27
"journée";1;1;1;1;0
"concerner";1;1;1;0;0,065
"choisir";1;1;1;1;0
"mdr";1;0,199;1;1;0
"détruire";1;1;0;0,58;1
"vidéo";1;1;0,016;1;0
"peine";1;1;0,847;1;0
"intérêt";1;1;1;1;0
"information";1;1;0,137;1;0
"franchement";1;1;1;0,443;0
"facile";1;1;1;0,565;0
"casser";1;1;1;1;0
"semaine";1;1;1;0;1
"traiter";1;1;0;1;0
"long";1;1;1;0,177;0
"économique";1;1;1;0;1
"économie";1;1;1;0;1
"chiffre";1;1;1;0;0,923
"accepter";1;1;0,848;0,201;0,046
"uniquement";1;1;1;0,187;0,004
"toucher";1;1;1;0;1
"fédéral";1;1;1;0,414;0
"financer";1;1;0;0;1
"démocratie";1;1;0;1;0
"moyenne";1;1;1;0;1
"haut";1;1;1;0;1
"faute";1;1;1;1;0
"rappeler";1;1;1;1;0
"humanité";1;1;0;1;0,167
"soutien";0,099;1;0;1;1
"maison";1;1;0,65;0;1
"dur";1;1;1;0;1
"udc";1;1;1;1;0
"chance";1;1;1;0;1
"unir";0,823;1;0;0,283;1
"tête";1;1;1;1;0
"route";1;1;1;0;1
"marcher";1;1;1;1;0
"lausanne";1;1;1;0;1
"emji_visage_souriant_avec_coeurs";0;1;1;1;1
"contraire";1;1;1;1;0
"voler";1;1;0;0,791;1
"souhaiter";1;1;1;0,881;0,007
"plaindre";1;1;1;1;0
"image";1;1;0,129;1;0
"valeur";1;1;1;1;0
"truc";1;1;1;0,264;0
"nom";1;1;0;1;0,294
"fou";1;1;0,647;1;0
"fonctionner";1;1;1;0;1
"but";1;1;0,016;1;0,126
"main";1;1;0,074;0,109;0,619
"magnifique";0;1;1;1;1
"juif";1;1;0;1;1
"différence";1;1;1;0;0,258
"offrir";1;1;1;0;1
"minimum";1;1;1;0;1
"user";1;1;0;0,001;1
"réel";1;1;1;1;0
"propos";1;1;1;1;0
"massacre";1;1;0;1;1
"cours";1;1;1;1;0
"commettre";1;1;0;1;1
"mesure";1;1;1;0,006;0,011
"bref";1;1;1;0,57;0,001
"blanc";1;1;1;1;0
"autoriser";1;1;1;1;0
"tomber";1;1;1;1;0,001
"remettre";1;1;1;0,915;0
"fait";1;1;1;1;0
"milliard";1;1;1;0;1
"coût";1;1;1;0;1
"corps";1;1;0;1;0,093
"caisse";1;1;1;0;1
"prison";1;1;0;1;0,94
"preuve";1;1;1;1;0
"vendre";1;1;0,803;0;1
"tenir";1;1;0,002;1;0
"produire";1;1;1;0;1
"pro";1;1;0;1;1
"meme";1;1;1;0,728;0,002
"totalement";1;1;1;0,248;0
"physique";1;1;1;0;0,065
"libre";1;1;0,973;1;0
"ami";1;1;1;0,926;0,008
"écouter";1;1;1;1;0
"recevoir";1;1;0,452;0;1
"allemand";1;1;1;1;0
"militaire";1;1;0;1;1
"empêcher";1;1;1;1;0
"débat";1;1;1;1;0
"américain";1;1;0,007;0,044;1
"accueillir";1;1;0,003;0,039;1
"sauver";1;1;1;0;1
"refuser";1;1;0,002;0,315;0,704
"privé";1;1;1;0;1
"mondial";1;1;1;0;1
"culture";1;1;1;1;0
"complètement";1;1;1;1;0
"réfléchir";1;1;1;1;0
"raciste";1;1;1;1;0
"envoyer";1;1;0,268;0,166;0,792
"poste";1;1;1;0;1
"charger";1;1;1;0;1
"cacher";1;1;0,014;1;0
"banque";1;1;1;0;1
"époque";1;1;1;1;0
"prochain";1;1;1;1;0
"grave";1;1;0,04;1;0
"emploi";1;1;1;0;1
"type";1;1;1;0,631;0
"total";1;1;0,037;0,44;0,395
"résultat";1;1;1;0;0,11
"réseau";1;1;1;1;0
"obliger";1;1;1;0,202;0,001
"manif";1;1;0,005;1;0
"prime";1;1;1;0;1
"actuel";1;1;0,73;0;1
"énergie";1;1;1;0;1
"porte";1;1;1;1;0
"envie";1;1;1;0,69;0
"entier";1;1;0,011;1;0,152
"subir";1;1;0;1;0,131
"mec";1;0,107;1;1;0
"produit";1;1;1;0;1
"personnel";1;1;1;0;0,028
"millier";1;1;0;0,272;1
"condition";1;1;0,778;0;1
"effectivement";1;1;1;0,964;0,001
"marché";1;1;1;0;1
"difficile";1;1;1;1;0
"criminel";1;1;0;1;1
"responsable";1;1;0,021;1;0,011
"partager";1;1;0,778;1;0
"emji_coeur_brisé";0;1;0,801;1;1
"clair";1;1;0,443;1;0,011
"arabe";1;1;0;1;1
"étonner";1;1;1;0;1
"imposer";1;1;1;0;0,408
"acte";1;1;0;1;0,034
"projet";1;1;1;0;1
"photo";1;0,352;1;1;0
"heureusement";1;0,984;1;1;0
"emji_étincelles";0;1;1;1;1
"vérité";1;1;1;1;0
"sûrement";1;1;0,606;1;0,006
"qualité";1;1;1;0;1
"plaisir";1;1;1;1;0
"musulman";1;1;0;1;1
"justifier";1;1;0;1;0,132
"journaliste";1;1;0;1;0,063
"free";0;1;0,001;1;1
"fermer";1;1;0,88;1;0,001
"évidemment";1;1;1;0,741;0,003
"sérieux";1;1;1;1;0
"ordre";1;1;0,829;1;0
"décision";1;1;1;1;0
"réduire";1;1;1;0;1
"obligatoire";1;1;1;0,179;0
"discours";1;1;0,582;1;0
"bosser";1;1;1;0;1
"attaquer";1;1;0;1;0,156
"soin";1;1;1;0;1
"emji_visage_de_clown";1;1;0,176;1;0,159
"décider";1;1;0,054;0,373;0,328
"national";1;1;1;1;0
"loyer";1;1;1;0;1
"héritage";1;1;1;0;1
"règle";1;1;1;0,682;0
"renseigner";1;1;1;1;0
"prouver";1;1;0,402;1;0
"proposer";1;1;1;0;1
"genocide";1;1;0;1;1
"doute";1;1;1;1;0,001
"cesser";1;1;0;1;1
"air";1;1;1;0,144;0,021
"suite";1;1;0,023;1;0,184
"rentrer";1;1;1;0;1
"lien";1;0,015;1;1;0,051
"coûter";1;1;1;0;1
"couple";1;1;1;1;0
"content";1;1;1;0,833;0,041
"dénoncer";1;1;0;1;1
"blague";1;0;0,246;1;1
"réussir";1;1;1;0;1
"porter";1;1;1;1;0
"emji_visage_qui_hurle_de_peur";1;0;0,936;1;1
"coeur";0,325;1;1;1;0
"bloquer";1;1;0,966;1;0
"sioniste";1;1;0;1;1
"libérer";1;1;0;1;1
"emji_pouce_vers_le_haut";0,582;0;1;1;1
"emji_colombe";0;1;1;1;1
"augmentation";1;1;1;0;1
"racisme";1;1;1;1;0
"onu";1;1;0;1;1
"action";1;1;0,011;1;0,003
"conflit";1;1;0;1;0,158
"président";1;1;0;1;0,911
"participer";1;1;0,362;0,417;0,158
"nombreux";1;1;0,526;0,687;0,02
"limite";1;1;1;0,469;0
"incroyable";1;0,589;1;1;0,049
"danger";1;1;1;1;0
"climatique";1;1;1;0;1
"battre";1;1;1;0,564;0,003
"atteindre";1;1;1;0;0,499
"titre";1;1;1;1;0
"proche";1;1;1;0,079;0,158
"intéressant";1;1;1;1;0
"illégal";1;1;0,391;1;0
"opinion";1;1;1;1;0
"métier";1;1;1;0,037;0,005
"mourir";1;1;0,469;1;0,048
"directement";1;1;1;0;1
"billet";1;1;1;0;1
"bcp";1;1;0,802;0,781;0,039
"tourner";1;1;1;0;1
"responsabilité";1;1;1;1;0
"général";1;1;1;0,137;0
"début";1;1;0,056;1;0,075
"compter";1;1;1;0;1
"violent";1;1;0;1;0
"emji_biceps_contracté";0;1;1;1;1
"zone";1;1;0,164;0;1
"souci";1;1;1;1;0
"régime";1;1;0,036;0,405;0,615
"sud";1;1;0;0,845;1
"gars";1;0,464;1;1;0
"forcément";1;1;1;0,13;0,002
"condamner";1;1;0;1;0,039
"éducation";1;1;1;0,347;0
"intéresser";1;1;0,517;1;0,003
"final";1;1;1;0;1
"différent";1;1;1;1;0
"autorité";1;1;0,007;1;0
"assumer";1;1;1;1;0
"mode";1;1;1;1;0,001
"attaque";1;1;0;1;1
"svp";1;1;1;1;0,003
"post";1;1;1;1;0
"lier";1;1;1;0;1
"frais";1;1;1;0;1
"forme";1;1;1;1;0
"conseil";1;1;1;0,524;0,002
"commun";1;1;1;0;0,19
"accès";1;1;1;0;0,409
"ukraine";1;1;0;1;1
"région";1;1;0,004;0;1
"gérer";1;1;1;0,054;0,038
"frontière";1;1;0,31;0;1
"erreur";1;1;1;0,269;0,001
"considérer";1;1;0,611;1;0
"bout";1;1;1;1;0
"vote";1;1;1;1;0
"voisin";1;1;0,422;0,004;1
"message";1;1;1;1;0
"compliqué";1;1;1;0,067;0,046
"complice";1;1;0;1;1
"changement";1;1;1;0,003;0,058
"franc";1;1;1;0;1
"contrôle";1;1;0,687;0;1
"assurer";1;1;1;0;0,817
"appliquer";1;1;1;0,259;0,018
"rire";1;0;1;1;0,603
"retour";1;1;1;0;1
"oser";1;1;0,918;1;0
"conséquence";1;1;1;1;0
"cest";1;1;0,681;1;0
"honteux";1;1;1;1;0
"dangereux";1;1;1;1;0
"consommation";1;1;1;0;1
"chf";1;1;1;0;1
"affaire";1;1;1;0,426;0,001
"accident";1;1;1;0;1
"vol";1;1;1;0,001;0,609
"voie";1;1;1;0;1
"principe";1;1;1;0,893;0
"naître";1;1;0,003;1;0,027
"milliardaire";1;1;1;0;1
"employé";1;1;1;0;1
"apporter";1;1;1;1;0
"nécessaire";1;1;1;0,067;0,005
"local";1;1;1;0;1
"engager";1;1;1;0;1
"déranger";1;1;1;1;0
"afrique";1;1;0,002;0,397;1
"plan";1;1;0;1;1
"livre";1;1;1;1;0
"transport";1;1;1;0;1
"polluer";1;1;1;0;1
"médecin";1;1;1;0;1
"légal";1;1;1;1;0
"climat";1;1;1;0;1
"bientôt";1;1;1;0,193;0,109
"statistique";1;1;1;1;0
"neutre";1;1;0,208;1;0
"hôpital";1;1;0,046;0;1
"excellent";0,002;0,004;1;0,702;1
"ensemble";1;1;0,829;1;0
"critiquer";1;1;1;1;0
"chrétien";1;1;0;1;1
"cadeau";1;1;1;0;1
"territoire";1;1;0;1;1
"soudan";1;1;0;1;1
"réellement";1;1;1;0,036;0,192
"monter";1;1;1;0,083;0,021
"effort";1;1;1;0,111;0,007
"retourner";1;1;0,003;1;0,615
"protection";1;1;1;1;0,001
"prisonnier";1;1;0;1;1
"habiter";1;1;1;0;1
"emji_visage_souriant_avec_yeux_rieurs";0,919;1;1;1;0,006
"emji_visage_souriant_aux_yeux_rieurs";1;0;1;1;1
"dépasser";1;1;1;0;1
"conscience";1;1;1;1;0
"âge";1;1;1;1;0
"sport";1;1;1;0;1
"retraite";1;1;1;0;1
"gauchiste";1;1;0,364;1;0
"drogue";1;1;1;0,002;0,491
"direct";1;1;0,444;0,011;1
"comparer";1;1;0,509;0,003;1
"adulte";1;1;1;1;0
"vieux";1;1;1;1;0,005
"tirer";1;1;0;1;0,427
"plaque";1;1;1;0;0,441
"planète";1;1;1;0;0,93
"octobre";1;1;0;1;1
"conseiller";1;1;0,681;0,271;0,272
"art";1;1;1;1;0
"training";1;1;1;1;0
"taux";1;1;1;0;1
"quitter";1;1;1;0;1
"présenter";1;1;1;1;0
"perte";1;1;1;0;1
"perso";1;1;1;0,002;0,087
"fond";1;1;1;1;0
"enlever";1;1;0,481;0;1
"endroit";1;1;1;0,001;0,566
"emji_drapeau_israël";0;1;0;1;1
"soigner";1;1;0,057;0;1
"origine";1;1;1;1;0
"moitié";1;1;1;0;1
"mentionner";1;1;1;1;0
"inquiéter";1;1;1;0,634;0,069
"fille";1;1;1;1;0
"budget";1;1;1;0;1
"adorer";0;0,309;1;1;1
"adapter";1;1;1;0;1
"fiscal";1;1;1;0;1
"continent";1;1;0,236;1;0,939
"pacifique";1;1;1;1;0
"mouvement";1;1;0;1;0
"etat";1;1;0;0,198;1
"critique";1;1;1;1;0
"courant";1;1;0,191;1;0,001
"consommer";1;1;1;0;1
"chine";1;1;0,283;0;1
"rôle";1;1;1;1;0
"parole";1;1;0;1;0,008
"juger";1;1;0;1;0
"investir";1;1;1;0;1
"gratuit";1;1;1;0;1
"actuellement";1;1;1;0;1
"ridicule";1;1;1;1;0
"professionnel";1;1;1;0;0,231
"pousser";1;1;1;0,066;0,232
"joli";1;1;1;0;0,997
"islamiste";1;1;0;1;1
"innocent";1;1;0;1;1
"habitant";1;1;1;0;1
"génération";1;1;1;0,078;0,504
"cessez_le_feu";1;1;0;1;1
"cash";1;1;1;0;1
"avantage";1;1;1;0;1
"politicien";1;1;1;0,046;0,13
"informer";1;1;0,455;1;0,001
"essentiel";1;1;1;0,007;0,275
"vélo";1;1;1;0;1
"viser";1;1;0,035;1;0,066
"pied";1;1;1;0;1
"noir";1;1;0,956;1;0,004
"jeu";1;1;1;1;0
"immigration";1;1;1;0,77;0
"humanitaire";1;1;0;1;1
"emji_visage_souriant_avec_une_larme";0,058;0,007;1;1;0,063
"russie";1;1;0;1;1
"richesse";1;1;1;0;1
"patron";1;1;1;0;1
"nationalité";1;1;1;1;0
"expression";1;1;1;1;0
"emji_mains_en_prière_peau_claire";0;0,445;1;1;1
"capable";1;1;1;1;0
"socialiste";1;1;1;0;1
"scientifique";1;1;1;1;0
"obtenir";1;1;1;0,026;0,104
"membre";1;1;0,018;1;0,016
"inutile";1;1;1;0,001;0,739
"esprit";1;1;1;1;0
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;1;1;1;1
"drôle";1;0,362;1;1;0
"dieu";1;0,825;0;1;1
"courir";1;1;1;1;0,001
"casseur";1;1;1;1;0
"autorisation";1;1;1;1;0
"utile";1;1;1;0,021;0,193
"notamment";1;1;0,428;0,007;1
"mineur";1;1;1;1;0
"enquête";1;1;0,174;1;0
"emji_visage_festif";0;1;1;1;1
"sorte";1;1;1;0,014;0,193
"obligation";1;1;1;1;0
"drone";1;1;0;1;1
"dimanche";1;1;1;0;1
"commerce";1;1;1;0;1
"apparemment";1;1;1;1;0,017
"organiser";1;1;0;1;1
"etre";1;1;1;1;0
"emji_yeux";1;0;1;1;1
"corruption";1;1;1;1;0
"certainement";1;1;1;1;0,012
"top";1;1;1;0,638;0,025
"recherche";1;1;1;0,001;0,524
"prévoir";1;1;0,961;0;1
"pain";1;1;1;0;1
"objet";1;1;1;1;0
"lol";1;0,266;0,697;1;0,234
"impression";1;1;1;1;0
"horreur";1;1;0;1;0,529
"habitude";1;1;1;0,004;0,678
"exprimer";1;1;1;1;0
"dépenser";1;1;1;0;1
"contrôler";1;1;0;1;1
"centaine";1;1;0;0,085;1
"capitalisme";1;1;1;0,001;1
"bouger";1;1;1;1;0
"bombarder";1;1;0;1;1
"berner";1;1;1;1;0,127
"ps";1;1;0,994;1;0,128
"nature";1;1;1;0,637;0,102
"mère";1;1;1;1;0
"étonnant";1;0,742;0,285;0,001;1
"vivant";1;1;0,028;1;0,335
"supprimer";1;1;1;0;1
"relever";1;1;1;1;0
"finalement";1;1;1;0,824;0,037
"emji_visage_avec_fumée_sortant_des_narines";1;0;1;1;1
"crise";1;1;1;0;1
"contrairement";1;1;0,601;1;0,079
"centre";1;1;1;0;1
"visage";1;1;1;1;0
"ligne";1;1;1;0,004;1
"largement";1;1;0,334;0;1
"lancer";1;1;0,131;1;0
"film";1;0,966;1;1;0
"désolé";1;0,121;1;1;0,002
"douche";1;1;1;1;0
"brésil";1;1;0,263;1;0,119
"amérique";1;1;0;1;1
"présent";1;1;1;1;0
"pleurer";1;0,111;0,633;1;0,011
"plaire";1;1;1;1;0
"organisation";1;1;0;0,985;1
"hériter";1;1;1;0;1
"heureux";1;0,995;1;1;0
"financier";1;1;1;0;1
"emji_visage_avec_un_sourire_malin";1;0,002;0,49;0,065;1
"dépendre";1;1;1;0;1
"construire";1;1;0,894;0;1
"objectif";1;1;0,018;1;0,125
"job";1;1;1;0;0,402
"excuser";1;1;0,024;1;0,004
"domaine";1;1;1;0,006;0,156
"dirigeant";1;1;0,001;0,088;1
"course";1;1;1;0;1
"confondre";1;1;1;1;0
"avancer";1;1;1;1;0
"élevé";1;1;1;0;1
"voix";1;1;1;1;0
"ue";1;1;0,49;0,196;1
"répéter";1;1;1;1;0
"froid";1;0;1;1;1
"connerie";1;1;1;1;0
"campagne";1;1;1;0,25;0,001
"bande";1;1;0;1;1
"soir";1;0,356;1;0;1
"ressource";1;1;1;0;1
"probablement";1;1;1;1;0,005
"priorité";1;1;1;0;1
"nuit";1;1;0,31;0,09;1
"noël";0;0,792;1;0,25;1
"malade";1;1;1;0;1
"logement";1;1;1;0;1
"impossible";1;1;1;0,021;1
"impact";1;1;1;0;1
"hiver";1;0,523;1;0;1
"définition";1;1;0,006;1;0,004
"appartenir";1;1;0,723;0,002;1
"énorme";1;1;1;0;1
"tour";1;1;1;1;0,006
"signer";1;1;0;1;1
"sanction";1;1;0;1;1
"pratique";1;1;1;0,001;0,629
"new";1;1;1;1;0
"match";1;0,371;1;1;0,005
"marre";1;1;0,002;1;0,702
"jeter";1;1;1;0;1
"emji_visage_souriant_avec_yeux_plissés";1;0;1;1;1
"contribuer";1;1;1;0;1
"confirmer";1;1;0,171;1;0,468
"carte";1;1;1;0;1
"réagir";1;1;1;1;0,001
"rouler";1;1;1;0;1
"quotidien";1;1;1;0,985;0,009
"père";1;1;1;1;0
"prêt";1;1;1;0,001;0,976
"phrase";1;1;1;1;0
"nation";1;1;0;0,765;1
"futur";1;1;1;0,051;0,034
"déclarer";1;1;0;1;0,736
"comportement";1;1;1;1;0
"cadre";1;1;0,758;0,152;0,339
"achat";1;1;1;0;1
"réjouir";1;0,55;0,075;1;0,013
"nourrir";1;1;1;0,157;0,285
"mensonge";1;1;0;1;1
"fier";0;1;1;1;0,643
"décennie";1;1;0;1;1
"combat";1;1;0,478;1;0
"chômage";1;1;1;0;1
"arranger";1;1;1;0,134;0,057
"accuser";1;1;0;1;1
"visiblement";1;1;1;1;0
"terrain";1;1;1;1;0
"site";1;1;1;0;1
"réveiller";1;1;1;0,017;0,804
"remplir";1;1;1;0;1
"poche";1;1;1;0;1
"mener";1;1;0,126;1;0,075
"espace";1;1;1;0,134;0,096
"camp";1;1;0;1;1
