"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"politique";-170,948;-8,076;19,631;34,757;-10,292;26,883
"palestinien";-178,872;-7,983;5323,814;-156,899;-10,174;-368,713
"israël";-179,015;-7,771;5225,8;-140,278;-9,904;-376,119
"sûr";-81,008;-4,607;-1,289;-7,699;-2,697;135,469
"continuer";-77,408;-4,521;136,943;23,924;-0,115;-7,854
"famille";-7,181;-2,954;0,302;-9,852;-3,53;30,108
"lire";-138,452;-2,887;-10,362;-73,889;-6,278;409,337
"emji_mains_levées";575,739;-0,58;-13,769;-46,001;-7,161;-142,06
"importer";-134,445;-2,988;-2,167;-0,528;6,875;124,564
"apprendre";-53,084;-2,809;-28,061;-73,838;-0,039;288,791
"dernier";2,603;-4,409;1,381;-4,706;-2,495;0,394
"exemple";-111,802;-0,319;-0,94;105,814;0,632;0,932
"sujet";-129,026;-5,695;-17,697;-20,484;-2,15;286,943
"compte";-125,513;-7,639;-0,399;16,579;-4,559;60,375
"genève";-29,615;-2,349;-16,232;692,412;-9,127;-192,791
"cause";-138,744;-5,526;37,853;16,636;0,842;11,66
"perdre";-64,558;-5,552;-3,115;25,454;-0,572;19,763
"partie";-78,221;48,685;-0,001;46,921;-1,194;0,325
"manquer";-7,46;5,856;-27,324;-1,249;-0,024;33,971
"société";-113,881;-5,513;-21,671;15,214;-7,511;97,404
"histoire";-42,068;-2,49;30,801;-14,022;-4,213;40,404
"sortir";-69,362;0,325;-0,801;-4,099;0,03;84,746
"entendre";0,448;-2,555;-2,505;-61,484;-3,032;59,766
"pauvre";-37,595;-3,784;-7,845;13,864;315,854;-0,108
"idée";-48,935;-1,553;-25,022;-7,584;4,895;120,19
"fin";-27,83;-2,599;0,718;-1,936;-5,86;38,387
"emji_visage_souriant_avec_coeurs";1142,23;-5,814;-45,076;-105,528;-0,712;-248,42
"cher";-64,104;-2,306;-31,717;877,859;-5,428;-187,709
"oublier";-24,858;-0,2;6,803;6,861;-2,95;1,234
"rts";-22,439;-7,096;18,009;-37,288;-7,112;64,007
"manger";-11,721;-6,778;-48,212;0,034;3164,582;-49,02
"permettre";-125,785;0,168;-0,44;124,868;-1,68;0,826
"écrire";-103,07;-5,047;-7,008;-60,778;-6,912;323,87
"emji_visage_en_pleine_réflexion";-39,922;-1,289;-0,832;-0,043;-0,006;41,215
"parent";-51,589;1,809;-41,546;-17,636;-6,63;190,904
"malheureusement";-74,788;-2,327;-1,055;-9,222;4,313;108,07
"gros";-56,451;6,119;-24,743;78,712;-1,457;2,826
"côté";-70,568;15,191;-0,373;0,086;-0,063;42,383
"paix";0,52;-3,074;1268,939;-111,142;-4,713;-135,884
"finir";-54,162;-5,034;-0,134;12,383;-2,535;20,384
"social";-132,715;-6,765;-15,015;71,13;-0,714;34,999
"population";-155,725;-5,008;90,542;113,65;1,387;-12,647
"revenir";-38,733;-0,05;-11,301;219,574;0,053;-26,065
"peuple";-130,231;-6,659;974,93;-0,125;-6,564;-47,608
"heure";-5,806;-2,826;-7,031;29,369;0,007;-0,309
"respect";-2,667;-6,765;-1,254;-69,49;-3,575;102,453
"espérer";-2,933;-2,114;-0,215;-22,549;0,25;35,112
"gauche";-123,013;-6,554;0,417;3,193;-8,352;80,789
"mort";-72,853;-4,493;240,966;-6,664;3,309;0,196
"nom";-15,916;-6,342;-0,047;-49,837;-4,509;112,187
"attendre";-73,225;-1,999;5,273;-1,76;0,048;54,661
"commencer";-83,07;-3,134;17,513;2,649;-1,275;22,283
"servir";-104,716;182,787;5,445;31,393;-4,635;0,043
"tuer";-100,732;-4,493;774,121;-35,915;101,567;-22,281
"hamas";-134,822;-5,906;4088,248;-122,185;-7,527;-284,912
"lieu";-128,595;-0,298;2,256;52,693;-1,202;10,221
"emji_visage_avec_bouche_ouverte";38,477;0,45;-4,714;-10,76;1,402;-3,144
"faux";-126,196;-4,609;0,52;-8,308;-3,269;158,933
"super";98,17;3,603;-17,799;-0,609;2,068;-38,455
"tête";-53,586;-0,809;-18,714;-31,652;-1,97;198,881
"pareil";-25,985;-0,278;-26,837;-0,684;-3,211;75,436
"moyen";-120,106;0,527;12,91;216,201;-0,461;-24,874
"dieu";43,336;-1,521;-7,251;-78,946;-0,914;15,092
"violence";-127,204;-5,801;74,851;-47,843;-7,393;136,47
"aider";-120,443;-6,038;2;16,571;-0,037;33,753
"simple";-14,412;-0,74;-7,835;1,488;-2,981;20,418
"système";-134,752;0,002;-20,755;520,362;-7,662;-33,235
"simplement";-76,602;-0,725;-4,564;29,142;-1,834;22,984
"classe";-5,863;-5,933;-35,588;54,519;-4,024;0,207
"manifestation";-133,039;-5,722;1896,733;-40,285;-7,292;-80,795
"droite";-122,811;-5,722;0,025;-2,91;-7,292;146,548
"prix";-104,506;-3,904;-0,003;887,581;-5,44;-227,629
"triste";-3,203;-4,147;-14,022;-43,919;-0,304;97,746
"public";-116,096;-0,54;3,907;329,028;-3,931;-41,1
"chat";17,967;-0,006;-25,09;-42,937;266,649;0,359
"vieux";43,512;-0,554;-15,707;-21,321;-0,015;0,511
"montrer";-63,579;-5,933;4,148;-11,857;-7,561;96,278
"ville";-63,753;-2,269;-2,405;422,265;2,359;-90,137
"palestine";-117,54;-5,708;3375,384;-112,93;-7,275;-210,392
"fille";50,934;-0,086;-20,788;-49,45;-3,869;8,955
"entreprise";-119,751;-0,015;-13,799;1027,985;-4,963;-215,498
"emji_drapeau_suisse";214,35;-4,693;-0,509;-0,51;-2,594;-113,743
"pire";-76,522;-1,076;2,654;0,955;-2,202;40,55
"emji_visage_roulant_des_yeux";-50,405;-0,284;-5,944;-9,576;-4,865;116,866
"impôt";-125,533;-5,405;-27,839;1186,012;-3,407;-228,884
"salaire";-115,327;-5,405;-39,72;1027,309;-6,888;-162,035
"loi";-124,124;-0,398;32,941;41,769;-2,283;1,8
"emji_visage_qui_pleure_à_chaudes_larmes";21,671;-2,282;-10,545;-2,306;4,89;-1,113
"créer";-79,182;-3,751;0,939;135,463;-0,142;-4,526
"nouveau";-51,857;-2,349;0;83,847;-3,745;-0,416
"répondre";-65,591;-3,751;-10,438;-41,166;-2,324;226,847
"chercher";-88,125;-3,776;-0,164;8,438;-0,593;42,459
"normal";-88,818;-0,026;-14,386;5,896;0,208;67,347
"maison";-30,686;195,261;-4,604;3,889;0,828;0,888
"emji_visage_souriant_avec_yeux_rieurs";577,408;-1,021;-24,347;-53,754;-6,888;-115,124
"façon";-22,156;-3,636;-10,855;-2,655;-2,202;66,5
"seulement";-61,101;0,441;1,038;51,392;0,167;-0,019
"retrouver";0,364;-3,636;-6,841;2,465;0,699;-0,007
"blanc";-23,326;-1,809;-2,795;-54,213;-3,012;145,237
"article";-107,588;-3,446;0,472;0,3;-2,001;78,23
"accent";808,384;-5,089;-37,269;-68,206;-4,602;-166,233
"acheter";-48,751;1,53;-8,739;431,273;-0,4;-95,771
"rapport";-90,098;-1,039;0,027;0,373;-1,16;65,018
"jeu";242,218;-3,332;-16,456;-29,463;-4,701;-30,135
"essayer";-87,303;-2,099;-0,434;-5,947;-2,121;124,701
"réponse";-33,017;-3,421;-7,541;-50,966;-4,815;182,593
"propre";-77,92;199,126;-0,026;1,12;-1,987;15,516
"manifester";-111,011;-1,765;1594,808;-25,623;-4,504;-84,644
"gaza";-121,275;-5,115;3245,65;-88,271;-4,635;-221,992
"mauvais";-77,319;-0,856;-12,393;-3,478;4,933;117,118
"armée";-115,755;-5,102;404,257;-0,173;-4,619;-1,185
"soutenir";-92,054;-5,128;621,866;-7,146;-4,652;-9,12
"préférer";-12,295;0,61;-6,949;-0,378;2,923;19,84
"poser";-89,361;0,156;-15,328;-18,25;3,194;180,824
"respecter";-84,704;-3,269;180,079;3,221;1,116;-1,676
"rappeler";34,654;-3,433;3,669;-0,991;-1,987;-20,82
"justement";-95,898;-1,92;-0,348;-0,055;-1,908;92,777
"eau";-59,508;622,241;-0,052;86,401;-0,74;-42,168
"voiture";-52,484;-3,08;-31,672;772,243;-1,623;-169,89
"service";-97,725;-0,739;-7,955;151,102;0,534;-0,02
"santé";-61,063;-3,218;-20,141;377,924;1,184;-46,428
"écouter";5,774;-5,102;-18,953;-53,183;-4,619;58,619
"garder";-31,678;-0,184;-14,205;4,267;1,202;26,307
"journée";-0,789;13,821;-17,941;-20,078;-0,788;40,623
"sembler";-49,427;-1,831;0,057;0,928;-0,019;29,631
"mois";-65,524;-0,643;-12,758;475,195;-2,727;-74,087
"défendre";-107,891;-4,878;362,52;-0,504;-6,216;-0,213
"réalité";-95,343;-4,97;-0,464;0,122;-2,907;89,262
"valoir";-13,367;-1,71;-8,843;100,192;-0,226;-9,506
"exactement";-29,256;-3,218;-3,366;-17,106;-4,553;102,939
"ami";-0,112;-0,643;-5,308;-17,994;0,678;26,63
"heureux";62,117;-3,042;-22,089;-32,633;0,146;1,117
"fou";-0,007;-0,674;-2,68;-38,632;-0,192;42,699
"terre";-70,449;-4,759;184,847;0,646;0,001;-0,835
"plaisir";116,17;-3,054;-18,925;-18,933;1,426;-8,919
"agir";-107,267;-3,029;42,194;17,038;-6,183;7,21
"coeur";138,501;-4,838;-9,324;-30,764;6,018;-14,554
"air";0,219;-0,658;-17,118;-4,066;-2,757;18,643
"reportage";437,822;0,325;-21,993;-59,398;-6,183;-68,634
"possible";-53,262;-2,954;-0,653;74,722;-2,682;0,101
"manière";-58,076;-3,004;-0,757;-0,123;-2,742;66,844
"foutre";-60,254;-4,838;8,456;-0,571;0,653;34,834
"ouvrir";-61,797;-0,596;-0,001;2,247;-6,032;40,046
"mdr";-28,529;0,019;-3,662;-17,622;-0,664;88,471
"expliquer";-76,522;0,025;0,25;1,8;-0,637;39,368
"truc";-41,902;8,529;-8,035;0,348;-0,166;38,029
"gagner";-74,766;-4,575;-18,352;565,055;-3,967;-80,566
"incroyable";308,968;-1,591;-12,674;-22,337;-4,243;-68,163
"bidet";-30,451;18029,541;-33,835;-84,039;-5,562;-202,087
"europe";-87,009;0,482;91,278;78,702;-4,015;-21,545
"oeil";-2,552;-0,581;1,214;-13,549;-2,608;19,377
"génération";-1;-4,601;-18,54;-30,951;-2,49;79,795
"canton";-53,415;-4,351;-23,581;728,52;-3,691;-156,753
"trump";-102,647;-4,548;551,842;0,395;-3,934;-20,733
"protéger";-75,069;-4,588;85,456;5,534;0,923;0,1
"interdire";-85,664;-1,316;1,619;108,625;33,152;-7,474
"gouvernement";-106,165;-4,588;814,122;-0,245;-3,983;-41,044
"bas";-26,58;-0,521;-0,362;91,367;-0,54;-8,237
"situation";-98,823;-4,601;14,77;-0,425;-3,999;61,622
"couper";-16,274;-1,326;-17,603;193,727;-1,217;-26,968
"israélien";-105,034;-4,43;3140,306;-83,035;-5,646;-231,854
"honte";-65,972;-4,469;8,668;-0,807;-0,456;44,501
"heureusement";-32,028;1,383;-10,205;-18,241;-0,54;104,697
"avis";-73,252;-1,357;-1,1;-38,467;-3,885;194,335
"liberté";-68,119;-2,492;6,178;-7,011;-2,141;73,92
"père";78,697;-4,43;-22,356;-12,824;-5,646;-0,597
"génocide";-104,41;-4,404;2731,553;-84,887;-5,612;-168,089
"âge";-0,209;-4,469;-26,368;-37,735;-0,061;82,585
"mec";-30,698;-1,254;-12,585;-42,681;-3,723;170,625
"imaginer";-50,132;3,045;-8,221;29,511;0,035;7,655
"cours";-19,68;-4,338;-0,708;-6,163;-5,528;55,729
"choix";-62,405;-0,368;-5,47;10,079;-5,495;38,943
"absolument";-33,148;-2,629;-0,15;-9,328;-0,052;66,657
"reconnaître";-12,095;-4,312;401,59;-14,184;-5,495;-20,206
"assurance";-89,817;-4,114;-29,724;1049,051;-5,243;-217,496
"également";-13,972;-2,517;1,678;26,801;-0,028;-2,178
"langue";-50,994;-0,181;-18,357;-17,983;-4,958;165,554
"peur";-31,609;-2,48;-0,905;-9,978;1,362;65,555
"équipe";-12,274;-3,851;-23,594;303,802;-3,079;-61,65
"terme";-71,376;-0,286;3,783;-4,965;-0,006;66,185
"rue";-48,418;-2,418;18,993;0,781;-0,012;9,474
"rire";184,38;-1,071;-16,847;-31,73;-1,983;-15,671
"mère";40,6;0,915;-23,965;-30,448;-0,277;3,698
"aide";-66,312;-2,418;49,969;8,472;-0,985;1,082
"emji_visage_souriant_aux_yeux_rieurs";233,929;0;-23,165;-20,435;-0,225;-41,35
"hiver";418,741;-4,062;-29,316;-15,948;-0,231;-110,259
"otage";-88,308;-0,202;2647,238;-77,436;-5,025;-194,633
"solution";-66,119;1,093;2,445;122,053;-1,842;-9,415
"important";-55,441;-1,101;-2,015;5,297;-0,29;32,284
"chance";0,648;-2,319;-9,546;14,992;-0,25;-2,735
"emji_pouce_vers_le_haut";428,287;-3,693;-18,649;-38,23;-1,51;-87,15
"recevoir";-18,241;-2,257;-0,206;23,836;-1,87;0,294
"base";-77,337;0,977;-2,314;12,948;-0,896;29,743
"main";-26,194;94,586;1,017;5,751;0,216;-0,289
"haut";-21,622;-2,245;-11,604;34,663;-3,288;3,478
"occuper";-54,434;-3,956;19,729;5,419;0,001;5,035
"image";-9,702;-4,062;1,649;-4,867;-3,336;22,133
"extrême";-81,718;-3,877;5,664;-12,344;-4,941;107,021
"début";-18,029;-0,983;-1,062;-2,929;-0,831;37,793
"suivre";-41,87;-2,208;1,978;-0,143;-1,814;32,991
"faute";-77,765;-2,147;-4,412;-7,552;-0,166;133,443
"argument";-76,527;-3,864;-1,519;-7,749;-0,144;123,675
"naître";-0,28;-0,197;-0,509;-25,103;-5,008;33,014
"étude";-83,593;-3,851;-25,6;34,269;-3,079;46,428
"tomber";-26,809;-2,098;-4,163;-0,061;1;35,115
"justice";-67,219;-2,098;557,28;-13,172;-1,689;-9,288
"effet";-47,906;-0,848;-10,406;102,763;-0,134;-0,123
"augmenter";-83,948;-3,759;-12,645;721,517;-4,791;-133,221
"archive";484,281;-3,943;-20,516;-65,645;-1,772;-75,532
"long";-39,666;-0,176;-4,225;0,978;0,005;34,409
"étranger";-75,291;-3,812;-0,31;107,663;-3,031;0
"contraire";-57,026;-2,123;0,298;-2,932;0,004;62,797
"sécurité";-84,259;-3,772;11,426;202,55;-0,11;-30,016
"semaine";-42,194;-3,746;-6,339;58,026;-2,951;2,429
"maladie";-71,986;-2,013;-27,077;539,055;2,343;-84,326
"facile";-46,588;1,295;-2,678;0,547;-1,689;39,439
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";744,097;-3,273;-25,375;-63,032;-4,171;-166,954
"policier";-63,678;-3,614;71,983;-8,991;-2,792;27,836
"journaliste";-3,953;-3,601;28,964;-33,003;-1,416;16,929
"raciste";-75,509;-3,614;-8,984;-52,176;-4,606;264,41
"nourrir";-26,221;-3,68;-12,107;-13,747;5021,063;-67,439
"partager";16,82;-3,838;-1,439;-7,459;-3,063;0,129
"lausanne";-0,33;-3,72;-12,375;188,774;-2,919;-65,3
"dur";-24,137;-3,72;-2,131;5,06;-2,919;16,583
"mode";-9,946;0,597;-11,661;-12,825;-0,06;57,684
"envie";-8,725;-0,12;-12,375;-17,755;-0,595;70,627
"choisir";-37,277;-1,928;-4,126;-0,01;-4,69;54,648
"actuel";-55,829;-0,129;-0,769;8,378;-2,951;25,358
"frontalier";-74,578;-3,47;-20,681;652,587;-4,422;-107,174
"emji_visage_boudeur";-29,735;-2,223;21,345;-1,372;0,544;9,733
"nombre";-69,421;-3,562;2,837;128,665;1,491;-10,281
"mériter";-26,929;-3,641;1,805;6,811;-4,64;6,144
"différence";-52,286;-0,737;-1,449;23,146;-0,566;10,756
"train";-56,763;-0,683;0,024;284,836;-2,776;-50,902
"groupe";-40,062;-3,391;146,665;-0,532;-2,522;-0,04
"clairement";-57,364;-1,879;0,547;-3,466;-1,443;68,24
"éviter";-68,29;-0,088;-2,359;47,722;2,745;3,454
"ancien";-0,042;-0,701;-9,067;-4,633;-2,808;19,028
"suffire";-66,577;0,572;-0,013;16,496;-4,64;16,48
"peine";-65,657;-3,601;0,327;-1,155;-1,416;68,423
"risque";-72,407;-1,747;-2,502;153,938;1,645;-4,756
"franchement";-34,499;0,053;-6,731;-5,28;-0,064;72,325
"bref";-49,1;0,053;-1,806;1,096;-2,808;39,834
"majorité";-77,685;-3,601;4,144;52,483;-2,776;1,392
"effectivement";-13,849;-1,867;-3,044;0,043;-0,06;19,551
"traiter";-68,804;-1,795;21,94;-16,127;0,079;63,87
"meme";-35,791;0,78;-3,84;-0,012;-2,586;43,456
"laver";-55,669;12120,313;-19,88;-51,222;-4,288;-91,736
"génial";551,649;0,075;-23,271;-55,087;-1,362;-119,242
"face";-56,577;-3,404;20,615;-8,192;-1,218;47,82
"battre";-54,7;-0,561;-2,245;-1,192;-0,017;69,804
"noir";-19,724;-3,325;-1,348;-21,805;-0,328;80,511
"intéressant";-0,52;-0,647;-14,218;-0,65;-4,523;17,893
"caisse";-62,945;-3,286;-13,944;697,492;-4,188;-148,395
"baisser";-75,545;-0,037;-24,229;547,686;-1,218;-79,706
"amour";62,874;-0,04;-13,284;-29,551;0,127;-0,032
"propos";-39,509;-3,536;-0,646;-46,434;-2,697;154,607
"nouvelle";-0,04;-1,723;-4,791;-1,401;-0,411;8,457
"nature";-0,031;-3,391;-14,704;-7,205;75,963;7,978
"renard";-0,22;-3,391;-24,128;-35,909;7020,257;-163,766
"remettre";-36,995;-3,417;-2,934;-0,628;-4,355;61,668
"victime";-53,461;-3,457;151,893;-18,591;-4,405;13,372
"toucher";-21,211;-0,054;-5,916;52,036;-2,633;-0,037
"tenir";-39,355;-1,711;2,808;-17,122;5,232;57,642
"info";-55,303;-0,578;5,369;-0,31;-0,022;32,683
"plaindre";-66,027;-3,417;-7,763;0,309;1,781;67,723
"détruire";-73,335;-3,417;89,282;4,218;22,62;-0,464
"civil";-79,157;-3,339;1246,289;-17,969;-4,255;-72,117
"éducation";-39,495;-1,639;-12,913;-11,445;-2,491;121,801
"international";-68,996;-3,339;1155,993;-5,148;-4,255;-97,787
"voter";-68,067;-3,299;-3,997;77,329;-1,114;2,5
"feu";-36,161;-3,378;388,48;-0,299;-1,192;-26,988
"dimanche";11,217;-3,155;-12,999;0,409;-0,976;-0,42
"complètement";-40,347;-0,552;1,209;-3,848;-0,377;46,097
"valeur";-28,39;-3,404;0,206;0,019;-4,338;26,573
"réseau";-49,873;-3,391;0,067;-8,91;-0,368;80,955
"terroriste";-72,194;-3,155;2073,144;-65,44;-4,02;-134,965
"souhaiter";-4,077;-1,639;-3,471;-2,47;-0,352;21,036
"joli";232,125;-1,603;-12,635;-14,126;-4,238;-49,782
"intérêt";-59,992;-1,544;12,552;3,027;-1,076;13,549
"exprimer";-0,255;-3,234;-11,989;-64,638;-4,121;102,529
"marcher";-48,982;-1,627;0,289;1,06;-4,271;32,067
"accepter";-63,869;-3,325;2,78;12,46;-0,328;12,269
"égalité";-62,801;-3,076;-21,69;-15,055;-3,92;187,588
"porter";-16,519;-0,478;-10,867;-5,316;-0,304;58,567
"métier";-26,58;-3,155;-20,239;0,409;-2,24;53,544
"corps";-51,508;16,191;9,034;-5,435;-0,914;32,422
"difficile";-29,995;0,165;-2,548;-2,193;-1,14;49,909
"porte";-21,954;-0,486;-2,441;-1,243;0,191;35,088
"pied";-16,301;757,977;-9,801;1,393;-0,216;-3,427
"humanité";-31,692;-3,247;67,143;-8,025;-2,349;10,419
"type";-38,079;-3,299;-3,997;0,51;-0,312;41,401
"vérité";-18,476;-0,415;-0,926;-41,177;-4,054;106,058
"profiter";-29,495;-1,509;-2,824;156,183;-2,318;-17,194
"preuve";-60,174;-3,168;1,128;-15,266;-0,988;99,676
"source";-52,821;-1,356;1,088;4,825;-0,878;18,537
"courage";23,391;-0,43;0,012;-17,137;-2,302;-0,046
"route";-48,094;-3,128;-12,811;338,453;0,002;-48,516
"logique";-49,291;-1,473;0,022;7,516;-1,001;17,524
"envoyer";-38,509;-0,011;5,171;0,015;6,208;10,817
"offrir";-9,383;-3,102;-5,889;237,154;-3,953;-62,989
"libre";-33,489;-3,168;1,128;-0,235;-4,037;32,301
"gars";-5,569;-0,384;-14,467;-12,358;-0,951;57,607
"voler";-55,09;-3,05;36,485;28,802;-0,878;-1,013
"suite";-15,211;-0,008;3,537;0,248;-1,026;4,481
"franc";-23,991;-2,866;-14,263;523,348;-3,652;-140,877
"culture";-41,374;-1,403;-3,066;-0,896;-2,177;63,945
"sûrement";-19,091;-3,142;-0,211;-3,922;0,001;36,959
"totalement";-43,126;-1,473;-1,98;0,524;-1,001;40,921
"touchant";616,415;-3,168;-22,401;-60,776;-4,037;-123,818
"initiative";-38,563;-3,063;-5,663;77,449;-2,13;0,017
"but";-46,301;-3,05;19,805;15,525;-2,115;0,518
"représenter";-42,743;-1,298;6,44;64,073;-0,146;-4,885
"réfléchir";-51,508;-3,089;-12,529;-1,922;-2,161;103,645
"casser";-53,43;-3,076;151,436;0,146;-3,92;-0,103
"pratique";-25,818;1097,912;-5,071;2,285;-0,794;-8,497
"concerner";-61,564;-0,325;-0,928;20,291;-2,084;16,295
"toilette";-5,826;7313,174;-18,223;-29,742;-3,686;-97,726
