"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_mains_en_prière";2620,858;-147,792;-62,538;-0,719;-23,096;-96,749;-10,722;-144,01
"changer";-110,066;-79,217;-33,866;-7,007;40,999;299,458;1,936;-0,118
"souvenir";1206,014;-35,215;-67,553;-20,113;43,167;-138,245;-30,65;-79,11
"france";-154,506;-3,326;-24,274;-4,882;-17,092;-30,676;-9,946;793,271
"fois";-133,466;-25,846;0,313;-5,08;14,736;49,61;-5,193;41,664
"commentaire";-137,66;-48,345;-35,253;-1,796;-74,972;1715,966;-0,168;-126,891
"seul";-156,212;-99,776;11,35;10,545;1,161;99,43;13,288;20,592
"arrêter";-168,772;-151,187;163;0,806;1,296;26,225;0,931;55,396
"demander";-161,125;-106,572;26,481;-1,791;5,523;82,42;15,898;25,89
"droit";-149,932;-170,825;942,381;-5,752;-17,599;0,318;67,435;2,084
"question";-150,521;-126,268;-8,438;-4,769;-11,921;862,64;0,485;-2,676
"emji_visage_faisant_un_clin_d_oeil";-59,462;63,336;-22,24;-0,456;7,476;13,613;-7,449;-3,974
"devenir";-96,895;-98,066;-16,054;14,37;22,022;8,042;1,349;153,155
"travail";-110,589;-143,208;-15,8;-11,694;7,145;-11,085;-0,076;699,046
"emji_visage_avec_bouche_ouverte";228,986;0,062;-14,079;-0,136;-0,103;-19,058;-0,919;-33,406
"raison";-6,021;-124,995;-0,815;13,585;-31,904;112,565;349,496;-6,262
"cas";-139,262;-100,93;0,32;-3,506;-3,853;153,448;15,533;66,209
"jeune";-45,604;-70,804;-53,386;-9,816;921,099;-1,811;1,083;-30,64
"sentir";-108,577;-71,516;-19,01;0,042;-3,612;455,98;14,299;-0,65
"emji_visage_qui_pleure_à_chaudes_larmes";-3,043;1151,049;-41,082;-0,814;-49,318;-83,928;-14,47;-88,406
"police";-99,091;-162,389;645,388;-10,054;-16,669;73,396;-1,171;-0,044
"exister";-90,398;-55,022;-0,317;-0,006;0,031;88,769;172,766;0,004
"accord";-55,605;-116,029;232,835;0;-14,29;16,523;7,203;16,969
"humain";-78,354;-158,294;4,972;637,612;0,491;87,623;53,128;-21,851
"arriver";-95,095;-56,458;-6,755;-1,767;103,987;45,713;0,078;6,138
"utiliser";-131,933;0,07;10,994;-2,857;-19,685;45,573;-0,66;34,669
"laisser";-112,295;-121,488;0,715;70,686;13,501;155,643;-0,558;1,175
"besoin";-108,634;-92,767;-1,396;26,768;0,445;50,791;2,824;82,781
"état";-116,544;-139,854;795,535;-3,136;-38,45;-7,798;-10,118;129,186
"adorer";781,457;0,017;-57,452;4,33;-0,022;-60,37;-21,977;-103,391
"animal";-30,078;-125,829;-41,057;10256,532;-46,208;-19,11;-2,75;-48,88
"regarder";-65,337;-29,057;-16,926;-0,249;7,628;193,389;-0,76;-0,048
"guerre";-107,7;-126,032;3251,248;-9,317;-24,615;-59,086;-12,059;-37,834
"ca";-83,785;-16,208;-4,325;0,197;74,817;70,071;-1,456;-4,077
"coup";-108,485;-15,697;2,518;-0,993;51,462;1,962;1,007;16,88
"magnifique";2491,155;-133,595;-63,186;-6,316;-23,63;-114,752;-11,416;-95,938
"argent";-114,139;-121,875;-4,412;-11,186;-46,506;-64,344;-7,622;1499,461
"travailler";-98,007;-93,788;-40,499;-6,373;55,19;-17,625;0,065;457,232
"partir";-102,065;-68,607;1,248;-5,621;-0,131;1,455;-1,175;286,749
"moment";-33,474;-73,626;1,362;-3,786;162,355;11,276;2,682;-4,359
"vidéo";-49,011;-10,584;-7,586;-1,757;26,766;294,239;-1,977;-82,714
"etc";-100,227;-62,646;0,183;0,614;-0,233;0,002;-0,051;276,176
"riche";-90,126;-117,375;-42,522;-11,75;-59,642;-73,543;-18,136;1833,549
"plutôt";-104,077;-32,787;-4,721;1,301;-1,722;99,655;0,07;48,496
"place";-89,621;-80,326;0,666;-0,64;-1,156;4,492;1,852;229,483
"premier";-70,446;-13,514;0,106;-4,979;-0,257;88,945;-0,004;7,856
"mot";-62,965;-1,856;0,393;-5,7;-23,29;519,219;-0,074;-88,55
"rendre";-89,779;-101,285;27,286;11,728;-2,15;54,93;18,233;25,118
"appeler";-96,798;48,931;5,618;-0,401;0,011;10,004;-4,63;-2,986
"meilleur";20,515;-19,364;-27,224;-0,002;20,189;-1,478;-2,503;4,286
"jouer";3,757;-16,848;-22,616;-11,443;623,002;-64,117;-12,891;-30,222
"école";-43,762;-39,046;-30,252;-9,867;1454,227;-90,187;-19,586;-26,87
"niveau";-89,852;-78,107;-31,95;-3,764;84,766;79,385;-2,525;32,134
"part";-93,784;-54,446;1,15;-0,008;0,271;47,003;0,432;56,526
"genre";-74,697;-47,116;-10,792;-1,699;-2,142;382,152;36,188;-15,005
"politique";-90,872;-122,848;73,142;-8,948;-27,611;38,238;1,855;148,447
"palestinien";-93,441;-128,035;5475,9;-14,521;-91,563;-114,551;-21,694;-121,71
"emji_drapeau_suisse";611,114;-44,683;-6,345;-7,954;-26,186;-37,314;-14,931;0
"sûr";-80,017;-29,192;-1,047;-0,179;3,034;178,567;-1,203;-0,021
"israël";-97,575;-131,727;5395,996;-14,136;-86,644;-108,608;-25,039;-113,416
"importer";-98,323;-49,11;0,005;16,134;-2,561;231,534;-0,108;0,311
"dernier";-1,483;-31,72;2,823;-4,961;107,679;-1,452;-4,112;-0,671
"continuer";-62,593;-103,133;195,401;-0,125;0,121;-0,502;0,184;51,788
"emji_pouce_vers_le_haut";1252,293;-46,238;-33,167;-2,753;-22,203;-43,257;-7,648;-63,529
"famille";-28,197;-61,921;3,53;0,079;392,442;-22,086;-6,539;-0,578
"lire";-89,687;-57,835;-6,347;-5,853;-6,156;739,536;-0,43;-34,979
"apprendre";-73,023;-65,71;-23,679;-1,616;891,719;2,789;-8,311;-53,766
"emji_visage_en_pleine_réflexion";-68,1;-0,809;-0,27;0,057;-5,887;142,277;-0,123;-1,033
"exemple";-58,3;-86,553;-0,498;0,188;-3,838;10,404;15,557;165,627
"compte";-83,432;-75,72;-0,003;-5,356;-19,226;240,923;0,15;34,496
"genève";-69,392;-2,157;-11,309;-11,242;-26,958;-68,011;-21,371;775,051
"sujet";-83,432;-91,608;-13,863;-0,416;-45,812;767,453;0,15;-1,637
"manquer";-32,223;-24,437;-24,85;-0,959;64,14;43,662;-0,934;0,42
"pauvre";-75,846;-18,939;-5,408;415,588;8,435;-3,114;-0,165;28,088
"cause";-89,495;-81,804;47,18;13,627;-3,01;4,462;35,28;54,676
"perdre";-59,31;-55,058;-0,42;4,193;23,109;16,82;-1,3;36,395
"partie";-73,435;-28,15;1,94;-0,001;-0,176;-0,107;2,373;139,379
"histoire";-52,037;-53,975;26,437;-6,459;-0,943;278,423;-0,631;-20,25
"sortir";-80,76;-25,699;-0,097;-0,122;127,91;17,304;-0,193;-0,472
"fin";-52,985;-12,982;3,211;-4,031;31,811;35,405;0,195;-2,893
"société";-77,448;-111,363;-11,074;-2,918;-2,204;90,286;201,979;36,255
"entendre";-39,787;0,804;-3,011;-2,083;0,392;154,407;0,771;-46,754
"idée";-58,354;-21,034;-16,86;0,622;-11,193;278,601;-0,394;0,436
"cher";-63,587;-43,93;-30,382;-0,204;-25,501;-44,51;-12,094;946,423
"oublier";-65,566;-14,517;6,75;-0,276;27,322;0;1,485;15,992
"rts";-28,432;-60,723;21,978;-5,92;-31,365;333,121;-3,649;-5,356
"manger";-76,165;1,602;-40,788;3529,556;-0,351;-39,852;-9,711;-10,158
"respect";3,885;-108,779;-0,053;-3,544;273,32;-0,006;25,589;-62,406
"emji_visage_souriant_avec_yeux_rieurs";138,039;-9,926;-28,525;-1,44;11,975;-1,778;-5,055;-13,745
"paix";11,226;-88,4;1487,948;-4,086;-20,338;-41,373;-5,749;-88,209
"permettre";-76,516;-78,629;-0,068;-5,834;-0,725;4,923;0,011;260,714
"malheureusement";-70,098;-87,36;-0,326;12,429;22,038;51,957;114,353;-1,08
"écrire";-73,525;-45,797;-6,19;-8,838;-4,033;633,314;-0,919;-31,286
"gros";-64,079;-3,529;-12,148;1,301;0,534;-0,173;3,998;97,298
"parent";-62,257;-22,855;-38,06;-0,294;1033,974;-45,656;-12,382;-14,689
"revenir";-53,479;-30,797;-10,678;-0,078;0,217;-3,495;-0,728;267,579
"finir";-65,074;-35,515;0,077;8,038;103,911;0;-0,531;8,992
"super";3,992;-0,18;-22,859;0,634;17,667;-0,052;-3,407;-0,654
"côté";-76,179;-10,208;-0,007;-0,009;9,139;33,859;-0,01;6,607
"social";-75,827;-105,32;-9,758;-8,559;-0,094;30,756;5,192;220,749
"emji_visage_roulant_des_yeux";-69,083;91,287;-2,385;-2,159;-0,593;2,871;-1,239;-0,499
"population";-87,687;-110,747;135,639;0;-27,52;0,169;0,054;207,776
"peuple";-69,662;-102,866;1075,102;-10,098;-38,497;-3,611;-6,675;12,511
"heure";-23,013;-21,496;-3,413;-0,484;190,505;-13,154;-6,067;8,727
"gauche";-73,297;-58,624;9,987;-3,891;-22,592;94,556;-2,014;79,056
"espérer";-21,384;-45,993;-0,315;0,72;97,211;25,776;-0,054;-8,443
"palestine";-37,898;-95,292;1835,137;-8,531;-25,858;-3,914;-12,824;-44,005
"mort";-66,642;-29,831;303,049;19,67;-0,086;0,299;-0,024;-3,651
"pareil";-31,929;11,863;-24,525;0,379;2,285;24,483;-0,7;-0,702
"nom";-57,135;-5,034;0,434;-9,48;1,663;172,074;1,171;-26,379
"dieu";-0,081;-14,657;-19,39;-2,58;9,289;54,124;219,726;-93,763
"commencer";-72,96;-41,792;40,186;-8,163;0,017;47,931;-0,242;13,604
"attendre";-64,27;-18,66;7,27;0,118;4,851;56,543;-0,018;-0,009
"tuer";-70,431;-56,901;750,839;209,075;-8,769;-18,231;18,244;-33,648
"servir";-73,128;-4,231;4,318;-3,871;-11,126;0,512;0,408;118,056
"faux";-78,816;-50,319;1,918;-1,791;-52,2;384,7;5,301;0,018
"hamas";-73,492;-90,386;4149,424;-10,727;-71,462;-86,595;-16,964;-93,754
"lieu";-83,108;-65,955;8,997;-0,016;-0,592;29,1;-0,04;88,337
"tête";-53,093;33,053;-11,167;-0,407;0,843;39,063;-2,16;-7,735
"moyen";-76,276;-50,666;20,337;-0,901;-2,493;-7,085;-2,183;278,97
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1596,282;-53,327;-36,466;-8,812;-37,515;-67,978;-13,586;-55,671
"simple";-38,338;-53,086;-4,031;-0,844;49,365;45,126;0,188;1,658
"violence";-70,184;-93,776;137,58;-6,868;6;15,151;263,506;-22,596
"triste";-32,407;-64,473;-8,988;0,354;478,872;1,063;-0,271;-29,56
"aider";-72,722;-90,068;1,715;0,013;2,964;14,809;1,145;100,613
"simplement";-49,586;-76,826;-0,403;-1,415;0,106;36,804;2,058;76,644
"classe";-17,242;-30,371;-37,079;-5,683;83,334;-11,293;-2,443;109,001
"système";-73,492;-81,29;-13,545;-5,441;-20,696;-9,177;-2,944;787,508
"prix";-64,867;-62,19;1,289;-5,201;-43,171;-73,201;-5,565;937,465
"chat";-12,766;-11,007;-32,473;5694,547;-20,939;-23,207;-4,736;-69,809
"manifestation";-73,281;-89,392;2456,305;-10,368;-44,336;-17,688;-12,618;-35,308
"accent";8,87;766,195;-40,627;-10,344;-47,895;-45,806;-16,287;-80,912
"vieux";-35,445;28,107;-9,524;-0,238;36,781;0,327;1,216;-16,04
"droite";-73,281;-77,977;20,894;-8,412;-30,949;208,867;-2,551;29,852
"public";-72,476;-61,309;8,348;-8,626;-22,408;-7,123;-9,735;520,033
"fille";-24,199;-0,161;-30,186;-6,983;850,297;-65,364;0,487;-73,685
"montrer";-60,279;-58,763;11,861;-8,768;-2,52;202,501;1,983;-0,158
"ville";-51,528;-60,518;-0,015;1,094;-10,907;-36,988;-10,421;595,619
"pire";-58,991;-7,494;4,078;-0,753;72,659;-2,21;-0,204;6,251
"entreprise";-69,049;-79,18;-9,37;-7,82;-55,921;-70,748;-17,304;1344,378
"emji_visage_souriant_aux_yeux_rieurs";-0,444;467,647;-31,984;-2,173;-11,374;-23,556;-11,551;-40,82
"impôt";-69,557;-84,491;-23,284;-7,891;-65,184;-71,44;-13,495;1490,029
"salaire";-68,711;-83,378;-35,937;-7,773;-38,234;-66,102;-1,889;1308,269
"loi";-66,802;-77,764;94,996;-0,348;-10,215;4,907;1,476;83,66
"nouveau";-52,355;-57,697;1,354;-3,61;26,884;0,162;-1,08;86,337
"emji_visage_boudeur";-30,965;0,662;74,314;6,913;-0,266;-0,439;-1,697;-1,761
"créer";-56,603;-69,973;0,955;5,21;-9,751;7,453;8,376;143,461
"répondre";-59,999;-47,705;-10,319;-2,418;2,374;432,112;-1,567;-23,735
"normal";-54,768;-46,481;-9,878;0,191;54,84;7,024;5,261;25,052
"chercher";-62,677;-57,485;-0,033;0,134;-6,435;80,728;13,407;35,762
"maison";-50,537;-0,085;-5,964;1,208;301,859;-50,587;-7,242;0,804
"seulement";-51,859;-36,439;1,916;1,829;-0,315;2,539;3,832;76,982
"retrouver";-5,329;-21,136;-5,038;5,89;29,027;1,2;0,108;1,435
"façon";-31,142;-41,411;-3,757;-2,312;4,376;130,537;0,299;-0,065
"article";-61,346;-69,194;3,561;-1,254;-46,98;292,274;-3,442;17,84
"blanc";-60,382;2,179;-0,008;-2,808;-18,47;209,107;7,332;-33,04
"acheter";-54,517;-22,947;-3,716;23,694;-8,941;-30,356;-6,764;413,48
"essayer";-68,88;-36,646;0,359;2,224;-5,685;273,477;-0,772;-2,508
"rapport";-63,253;-41,941;1,098;-0,601;-12,667;122,459;20,315;8,301
"jeu";7,443;-28,803;-15,199;-7,371;479,748;-30,895;-4,001;-40,338
"emji_étincelles";1023,315;-48,366;-21,385;-5,232;-23,131;-34,437;-2,243;-43,825
"manifester";-62,495;-66,962;1965,492;-9,171;-28,098;-23,05;-12,327;-21,979
"réponse";-36,605;-39,486;-7,584;-5,837;-0,606;483,205;-0,283;-42,012
"rappeler";-3,827;-4,893;3,887;-2,191;64,532;-8,116;-1,935;-0,354
"propre";-62,747;-2,603;-0,233;-3,078;-0,263;44,898;2,242;7,338
"mauvais";-60,72;-44,054;-8,844;5,626;6,909;104,373;10,223;0,335
"gaza";-61,058;-81,738;3244,225;-5,632;-52,566;-72,621;-14,429;-60,205
"armée";-60,889;-70,034;563,343;-7,324;-12,077;-7,121;33,253;3,423
"exactement";-16,348;-23,791;-2,166;-2,156;-12,234;190,255;2,734;-2,059
"soutenir";-54,46;-81,738;811,808;-5,632;-16,563;-1,942;8,47;-0,588
"préférer";-37,865;-2,67;-3,263;9,996;17,314;1,959;8,577;0,379
"poser";-60,671;-38,257;-10,922;1,525;-0,152;353,862;-0,649;-9,399
"incroyable";92,056;-7,98;-13,446;-3,117;3,491;-0,411;-1,75;-8,015
"respecter";-58,817;-79,371;280,566;5,524;0,015;-1,942;1,855;9,722
"service";-50,508;-53,287;-3,847;2,086;-3,959;-3,721;48,919;213,196
"justement";-61,733;-56,493;0,244;-1,919;-10,687;185,036;2,467;9,818
"eau";-55,109;27,145;1,254;5,057;-6,388;-18,905;-4,33;56,211
"écouter";-14,276;-17,197;-15,834;-5,451;0,192;297,691;2,133;-50,665
"voiture";-45,099;-23,86;-24,528;-0,805;-13,094;-55,677;-13,628;745,522
"santé";-43,812;-67,402;-20,877;9,365;-8,19;-15,423;-2,923;551,422
"garder";-43,485;-24,989;-7,608;14,16;45,907;0,173;3,774;15,314
"journée";-18,639;-9,126;-21,793;-0,371;135,67;11,086;0,949;-14,345
"sembler";-58,479;-47,633;0,903;0;0,791;107,045;0,373;2,213
"mois";-54,604;-41,107;-11,719;-3,618;-1,273;-27,325;-0,981;522,626
"fou";-27,615;-3,627;-0,88;1,134;1,669;116,607;-0,403;-22,863
"ami";-6,834;-31,486;-5,945;0,212;161,721;7,925;-5,718;-12,639
"coeur";39,479;-25,555;-5,882;18,178;22,787;-1,28;-0,075;-12,495
"défendre";-60,298;-64,106;452,276;-5,224;-24,672;9,033;0,28;1,934
"valoir";-26,578;-0,076;-5,212;6,274;-11,602;-1,144;0,049;91,991
"reportage";144,39;-6,496;-20,417;-1,721;4,181;-0,668;-2,783;-21,456
"mdr";-57,3;102,852;-0,136;0,161;-2,521;1,377;-1,294;-5,086
"europe";-47,537;-32,641;233,147;-2,759;-7,727;-5,914;-2,912;50,129
"réalité";-50,007;-71,64;0,189;-2,619;-19,684;125,547;32,946;23,464
"plaisir";-2,741;-25,091;-21,7;23,825;172,989;0,979;-0,105;-21,979
"heureux";-0,673;-39,29;-18,013;4,813;513,399;-26,078;1,094;-43,295
"terre";-45,953;-50,093;188,029;0,039;3,549;0,024;4,945;0
"bidet";-25,487;1187,697;-34,289;-8,286;-47,626;-65,075;-14,677;-60,938
"air";-29,4;-1,368;-13,763;0,013;73,682;1,848;5,528;-2,471
"foutre";-51,611;-11,819;12,799;0,22;-6,096;89,672;-0,641;0,03
"agir";-61,945;-74,478;91,081;-2,469;-12,738;21,07;18,436;31,712
"possible";-47,007;-43,223;0;-0,011;0,452;0,974;-0,429;129,286
"manière";-50,439;-67,176;0,056;0,033;-5,485;207,885;2,767;1,039
"gagner";-46,711;-39,442;-9,046;-5,958;-8,566;-34,218;0,034;565,635
"truc";-44,274;-2,773;-13,095;-0,028;4,555;47,987;0,004;2,018
"ouvrir";-53,594;-38,168;0,832;-4,931;0,422;92,238;4,098;2,603
"trump";-48,599;-44,424;774,546;-8,453;-20,811;-2,287;-9,353;0,601
"expliquer";-55,825;-25,797;1,645;-0,663;-18,679;122,981;-0,157;16,339
"oeil";-19,433;-22,558;2,323;-4,864;23,061;38,377;0,512;-6,268
"canton";-51,778;-14,337;-21,1;-7,975;-45,447;-57,73;-12,112;897,617
"bas";-36,416;-24,715;1,04;1,002;1,943;-1,422;0,564;76,067
"génération";-30,961;-14,773;-20,965;-3,349;462,229;-3,424;-0,104;-19,878
"protéger";-45,841;-57,377;160,802;0,442;-4,253;0,245;29,14;7,061
"interdire";-52,621;-52,907;8,849;22,477;9,628;-7,171;4,061;72,838
"honte";-49,058;-42,342;14,549;-0,51;-5,084;-10,252;846,742;0,596
"gouvernement";-56,582;-63,644;968,204;-6,405;-25,955;-6,189;-2,767;0,598
"couper";-25,776;-1,426;-13,29;-0,061;10,084;-3,917;-1,129;66,081
"situation";-59,41;-71,144;32,421;-6,475;-5,78;107,834;7,019;6,061
"liberté";-32,891;-53,021;18,735;-4,305;-6,828;95,269;64,382;-2,276
"israélien";-52,452;-68,033;3139,35;-8,071;-54,923;-69,776;-14,296;-67,689
"heureusement";-41,638;11,765;-11,776;0,454;6,42;39,263;1,123;-19,531
"avis";-48,723;-55,633;-0,778;-4,573;-9,869;418,877;5,055;-13,904
"mec";-33,331;19,556;-4,195;-1,151;2,054;5,329;47,367;-18,669
"génocide";-57,045;-72,777;2929,214;-8,071;-48,246;-41,058;-12,28;-77,137
"père";-23,854;0,504;-26,916;-4,439;437,119;-24,801;0,449;-34,006
"âge";-14,112;-23,109;-25,647;-0,121;529,07;-5,535;-1,128;-33,839
"absolument";-20,634;-37,048;-0,12;0,519;-13,233;200,391;1,951;-2,458
"hiver";-4,262;552,864;-32,311;-0,048;-22,685;-49,95;-11,817;-15,809
"reconnaître";-31,114;-8,942;462,677;-1,803;-6,828;-3,137;-1,479;-6,212
"imaginer";-46,259;-9,367;-7,578;-0,469;6,041;19,068;-0,232;25,349
"cours";-34,879;-19,713;0,202;-7,903;378,437;-14,146;-8,427;-3,289
"rire";-4,683;271,65;-16,806;-5,817;-14,187;-1,803;-2,972;-22,7
"langue";-32,802;-16,147;-15,762;-5,139;-0,072;262,769;-10,473;-2,253
"choix";-43,754;-45,889;-3,885;-5,841;0,106;19,735;70,962;35,713
"également";-38,354;-35,728;1,584;3,856;4,489;-0,039;1,735;54,481
"assurance";-52,653;-64,604;-24,57;-7,45;-48,252;-70,808;-11,187;1249,638
"peur";-48,378;-30,386;-0,699;3,947;11,774;67,074;10,975;-2,06
"équipe";-0,58;-6,343;-10,481;-1,764;15,299;-1,583;-0,163;15,819
"terme";-50,167;-28,86;5,805;-0,007;-35,58;235,692;0,168;-0,096
"rue";-47,201;-42,901;35,312;5,955;70,683;-2,336;-0,071;2,1
"mère";-22,716;0,226;-27,167;0,948;486,678;-42,154;-0,665;-31,899
"génial";644,59;-24,38;-28,052;-4,238;-4,343;-19,214;-5,348;-33,767
"aide";-49,418;-59,472;75,459;0,338;0,196;0,222;1,333;34,482
"otage";-39,755;-57,527;2655,472;-7,187;-50,975;-54,414;-12,73;-61,317
"solution";-44,513;-41,427;3,839;-1,366;-16,571;-0,06;-1,569;250,72
"emji_visage_qui_hurle_de_peur";-23,735;416,771;-5,457;-2,764;-13,332;-23,778;-3,067;-18,798
"chance";-2,441;-33,602;-8,677;-1,464;227,546;-30,09;-3,564;6,847
"archive";146,784;-11,668;-21,174;-1,564;-0,011;11,945;-4,952;-34,791
"important";-42,42;-56,592;-0,453;-0,019;-0,082;73,761;3,117;20,682
"base";-38,348;-36,767;-1,138;0,968;-1,977;61,954;-0,27;30,815
"recevoir";-34,267;-37,68;0,123;-2,403;127,421;-5,969;-7,348;28,054
"image";-15,068;-45,291;4,701;-3,929;2,004;106,918;-0,227;-4,384
"main";-38,205;-0,227;0,123;1,253;49,561;-5,969;-2,384;4,942
"occuper";-40,254;-51,571;20,916;24,329;64,325;-4,623;-0,923;8,732
"haut";-40,587;-1,261;-7,25;-5,396;0,017;0,185;0,033;81,305
"argument";-43,674;-40,369;-0,951;-2,306;-39,591;381,617;4,125;-2,118
"faute";-50,965;-42,94;-2,655;-0,597;-13,757;158,627;97,727;0,007
"début";-31,183;-1,745;-0,273;-2,481;215,882;-11,632;-1,003;-3,892
"extrême";-49,446;-47,061;32,244;-5,092;-27,182;202,572;0,002;0,036
"tomber";-28,289;-15,93;-1,994;1,326;16,207;45,631;-0,118;-0,843
"suivre";-36,045;-45,137;6,681;-5,326;4,006;66,335;-2,356;3,294
"naître";-30,384;0,198;-1,083;-2,383;325,448;-25,607;-0,006;-27,266
"effet";-38,923;-27,528;-10,027;0,002;-5,192;5,524;4,314;136,25
"étude";-49,446;-47,061;-22,716;0,005;-3,555;47,922;0,407;119,295
"justice";-28,949;-55,979;638,957;-3,512;-16,531;-0,014;0,108;-3,693
"long";-30,606;-28,545;-3,606;0,005;8,646;34,554;4,509;3,916
"augmenter";-48,096;-51,752;-10,435;-3,316;-27,669;-44,462;-10,053;857,669
"étranger";-46,288;-52,413;0,059;-2,094;-14,401;0,912;-1,195;274,585
"partager";9,095;-50,041;-1,312;-2,267;-3,25;78,122;4,25;-6,7
"semaine";-33,421;-35,976;-4,059;0,017;201,996;-22,491;-3,934;30,07
"contraire";-40,852;-32,284;3,044;0,688;-10,586;69,386;95,824;-0,372
"facile";-44,366;-24,823;-2,715;-3,425;0,471;86,349;2,475;4,302
"sécurité";-48,771;-50,44;31,19;-0,451;-28,306;-8,01;-1,967;313,796
"policier";-40,485;-44,24;179,088;-4,789;-3,168;42,771;0,258;-3,494
"maladie";-43,693;-56,495;-26,098;19,91;-16,78;-23,747;-6,636;631,684
"nourrir";-30,692;-44,674;-8,896;4713,317;-23,77;-17,507;-3,763;-9,832
"lausanne";-15,955;-7,809;-5,485;-3,23;-9,989;-34,084;-9,885;359,279
"raciste";-43,759;-36,783;-2,521;-3,058;-35,257;605,008;-0,103;-29,087
"dur";-39,181;-30,268;-0,896;-0,409;229,647;-9,229;-1,129;3,737
