"";"classe 1";"classe 2";"classe 3";"classe 4"
"faux";1;1;0,16;0
"hamas";1;1;0;1
"lieu";1;1;0,003;0
"tête";1;0;1;0,007
"moyen";1;1;0;0
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";0;1;1;1
"simple";1;1;1;0
"violence";1;1;0;0
"triste";1;1;1;0
"aider";1;1;0,192;0
"simplement";1;1;1;0
"classe";1;1;1;0
"système";1;1;1;0
"prix";1;1;0,246;0
"chat";1;1;1;0
"manifestation";1;1;0;1
"accent";0,002;0;1;1
"vieux";1;0;1;0,09
"droite";1;1;0;0
"public";1;1;0,003;0
"fille";1;1;1;0
"montrer";1;1;0,001;0
"ville";1;1;1;0
"pire";1;1;0,043;0
"entreprise";1;1;1;0
"emji_visage_souriant_aux_yeux_rieurs";1;0;1;1
"impôt";1;1;1;0
"salaire";1;1;1;0
"loi";1;1;0;0
"nouveau";1;1;0,276;0
"emji_visage_boudeur";1;0,379;0;1
"créer";1;1;0,302;0
"répondre";1;1;1;0
"normal";1;1;1;0
"chercher";1;1;1;0
"maison";1;1;1;0
"seulement";1;1;0,17;0
"retrouver";1;1;1;0
"façon";1;1;1;0
"article";1;1;0,054;0
"blanc";1;0,11;1;0
"acheter";1;1;1;0
"essayer";1;1;0,558;0
"rapport";1;1;0,31;0
"jeu";0,006;1;1;0
"emji_étincelles";0;1;1;1
"manifester";1;1;0;1
"réponse";1;1;1;0
"rappeler";1;1;0,043;0,065
"propre";1;1;1;0
"mauvais";1;1;1;0
"gaza";1;1;0;1
"armée";1;1;0;1
"exactement";1;1;1;0
"soutenir";1;1;0;1
"préférer";1;1;1;0
"poser";1;1;1;0
"incroyable";0;1;1;1
"respecter";1;1;0;0,011
"service";1;1;1;0
"justement";1;1;0,599;0
"eau";1;0;0,273;0,537
"écouter";1;1;1;0
"voiture";1;1;1;0
"santé";1;1;1;0
"garder";1;1;1;0
"journée";1;1;1;0
"sembler";1;1;0,334;0
"mois";1;1;1;0
"fou";1;1;1;0
"ami";1;1;1;0
"coeur";0;1;1;0,31
"défendre";1;1;0;1
"valoir";1;1;1;0
"reportage";0;1;1;1
"mdr";1;0;1;1
"europe";1;1;0;0,012
"réalité";1;1;0,643;0
"plaisir";1;1;1;0
"heureux";1;1;1;0
"terre";1;1;0;0,024
"bidet";1;0;1;1
"air";1;1;1;0
"foutre";1;1;0;0
"agir";1;1;0;0
"possible";1;1;1;0
"manière";1;1;0,791;0
"gagner";1;1;1;0
"truc";1;1;1;0
"ouvrir";1;1;0,339;0
"trump";1;1;0;1
"expliquer";1;1;0,203;0
"oeil";1;1;0,125;0
"canton";1;1;1;0
"bas";1;1;0,287;0
"génération";1;1;1;0
"protéger";1;1;0;0,001
"interdire";1;1;0,003;0
"honte";1;1;0;0
"gouvernement";1;1;0;1
"couper";1;1;1;0
"situation";1;1;0;0
"liberté";1;1;0;0
"israélien";1;1;0;1
"heureusement";1;0,001;1;0
"avis";1;1;1;0
"mec";1;0;1;0,063
"génocide";1;1;0;1
"père";1;0,458;1;0
"âge";1;1;1;0
"absolument";1;1;1;0
"hiver";1;0;1;1
"reconnaître";1;1;0;1
"imaginer";1;1;1;0
"cours";1;1;0,613;0
"rire";1;0;1;1
"langue";1;1;1;0
"choix";1;1;1;0
"également";1;1;0,214;0
"assurance";1;1;1;0
"peur";1;1;1;0
"équipe";1;1;1;0
"terme";1;1;0,016;0
"rue";1;1;0;0
"mère";1;0,559;1;0
"génial";0;1;1;1
"aide";1;1;0;0
"otage";1;1;0;1
"solution";1;1;0,051;0
"emji_visage_qui_hurle_de_peur";1;0;1;1
"chance";1;1;1;0
"archive";0;1;1;1
"important";1;1;1;0
"base";1;1;1;0
"recevoir";1;1;0,728;0
"image";1;1;0,026;0
"main";1;1;0,673;0
"occuper";1;1;0;0
"haut";1;1;1;0
"argument";1;1;1;0
"faute";1;1;1;0
"début";1;1;1;0
"extrême";1;1;0;0
"tomber";1;1;1;0
"suivre";1;1;0,008;0
"naître";1;0,601;1;0
"effet";1;1;1;0
"étude";1;1;1;0
"justice";1;1;0;1
"long";1;1;1;0
"augmenter";1;1;1;0
"étranger";1;1;0,785;0
"partager";0,002;1;1;0
"semaine";1;1;1;0
"contraire";1;1;0,078;0
"facile";1;1;1;0
"sécurité";1;1;0;0
"policier";1;1;0;0,071
"maladie";1;1;1;0
"nourrir";1;1;1;0
"lausanne";1;1;1;0
"raciste";1;1;1;0
"dur";1;1;1;0
"journaliste";1;1;0;0,031
"mode";1;0,304;1;0
"envie";1;1;1;0
"actuel";1;1;1;0
"frontalier";1;1;1;0
"choisir";1;1;1;0
"mériter";1;1;0,001;0
"clairement";1;1;0,006;0
"nombre";1;1;0,001;0
"différence";1;1;1;0
"groupe";1;1;0;0,969
"franchement";1;1;1;0
"amour";0,008;1;1;0
"train";1;1;0,23;0
"laver";1;0;1;1
"suffire";1;1;0,273;0
"effectivement";1;1;0,981;0
"ancien";1;1;1;0
"éviter";1;1;1;0
"peine";1;1;0,238;0
"emji_visage_avec_des_symboles_dans_la_bouche";1;0;1;1
"risque";1;1;1;0
"meme";1;1;1;0
"emji_visage_retenant_ses_larmes";0;1;1;1
"renard";1;1;1;0
"bref";1;1;1;0
"majorité";1;1;0,022;0
"face";1;1;0;0
"battre";1;1;1;0
"traiter";1;1;0;0
"noir";1;1;0,802;0
"nature";1;1;1;0
"intéressant";1;1;1;0
"excellent";0;0,004;1;1
"complètement";1;1;0,057;0
"toucher";1;1;1;0
"tenir";1;1;0;0
"remettre";1;1;1;0
"propos";1;1;1;0
"joli";0;1;1;1
"courage";0;1;0,612;1
"caisse";1;1;1;0
"baisser";1;1;1;0
"victime";1;1;0;0,002
"nouvelle";1;1;1;0
"touchant";0;1;1;1
"info";1;1;0,039;0
"plaindre";1;1;1;0
"emji_coeur_cartes";0;1;1;1
"dimanche";1;0,124;1;0
"voter";1;1;1;0
"détruire";1;1;0;0
"civil";1;1;0;1
"éducation";1;1;1;0
"international";1;1;0;1
"feu";1;1;0;1
"valeur";1;1;0,029;0
"réseau";1;1;0,99;0
"terroriste";1;1;0;1
"souhaiter";1;1;1;0
"exprimer";1;1;1;0
"métier";1;1;1;0
"marcher";1;1;0,117;0
"intérêt";1;1;0;0
"porter";1;1;1;0
"porte";1;1;0,928;0
"pied";1;0;1;0,455
"accepter";1;1;0,01;0
"égalité";1;1;1;0
"corps";1;1;0;0
"humanité";1;1;0;0,027
"difficile";1;1;1;0
"emji_visage_souriant_avec_yeux_plissés";1;0;1;1
"type";1;1;1;0
"gars";1;0;1;0,075
"vérité";1;1;1;0
"profiter";1;1;1;0
"preuve";1;1;0,029;0
"mignon";0;1;1;1
"libre";1;1;0,036;0
"enfance";0;1;1;1
"source";1;1;0,143;0
"logique";1;1;0,446;0
"emji_drapeau_territoires_palestiniens";0;1;0;1
"totalement";1;1;1;0
"sûrement";1;1;1;0
"route";1;1;1;0
"franc";1;1;1;0
"envoyer";1;1;0,001;0
"culture";1;1;1;0
"offrir";1;1;1;0
"voler";1;1;0;0
"suite";1;1;0,005;0
"initiative";1;1;1;0
"but";1;1;0;0
"représenter";1;1;0;0
"pratique";1;0;1;1
"toilette";1;0;1;1
"réfléchir";1;1;1;0
"noël";0,006;1;1;0,039
"mourir";1;1;1;0
"emji_chat_souriant_aux_yeux_en_coeurs";0;1;1;1
"concerner";1;1;0,903;0
"casser";1;1;0;1
"grave";1;1;0,001;0
"haine";1;1;0;0,032
"garçon";0,075;1;1;0
"vendre";1;1;0,274;0
"drôle";1;0;1;1
"allemand";1;0,069;1;0
"réel";1;1;1;0
"racisme";1;1;1;0
"obliger";1;1;1;0
"européen";1;1;0;0,012
"arme";1;1;0;1
"rentrer";1;1;1;0
"information";1;1;0;0
"discours";1;1;0,376;0
"uniquement";1;1;0,02;0
"emji_visage_envoyant_un_bisou";0;1;1;1
"content";1;1;1;0
"adulte";1;1;1;0
"voisin";1;1;0,989;0
"taxe";1;1;1;0
"bonheur";0;1;1;1
"résultat";1;1;1;0
"ultra";1;1;1;0
"emji_mains_en_prière_peau_claire";0;1;1;1
"différent";1;1;1;0
"poste";1;1;1;0
"ia";1;1;1;0
"cadeau";1;1;1;0
"média";1;1;0;0,001
"fonctionner";1;1;1;0
"doute";1;1;1;0
"clair";1;1;0,135;0
"citoyen";1;1;0;0
"fermer";1;1;0,872;0
"empêcher";1;1;0,034;0
"top";0,314;0,01;1;1
"sérieux";1;1;1;0
"sport";1;1;1;0
"froid";1;0;1;1
"qualité";1;1;1;0
"prochain";1;1;1;0
"gentil";1;1;1;0
"crime";1;1;0;1
"minimum";1;1;1;0
"israel";1;1;0;1
"naturel";0,152;1;1;0
"fond";1;1;1;0
"emji_visage_souriant_avec_une_larme";0;1;1;1
"évidemment";1;1;0,466;0
"voix";0,11;0,68;0,287;1
"manifestant";1;1;0;1
"taxer";1;1;1;0
"lol";1;0;1;0,413
"livre";1;1;1;0
"chiffre";1;1;0,983;0
"revoir";0;1;1;1
"physique";1;1;1;0
"perso";1;0;1;0,002
"unir";1;1;0;1
"tourner";1;1;1;0
"règle";1;1;1;0
"entier";1;1;0,001;0
"sauver";1;1;1;0
"emji_visage_de_clown";1;1;0,005;0,004
"mondial";1;1;0,002;0
"habiter";1;0,829;1;0
"emji_coeur_brisé";0;1;0,173;1
"cest";1;1;0,422;0
"photo";1;1;1;0
"esprit";1;1;1;0
"emji_visage_très_souriant_aux_yeux_rieurs";0;0,223;1;1
"subir";1;1;0;0,001
"produit";1;1;1;0
"merveilleux";0;1;1;1
"juif";1;1;0;1
"blague";1;0;0,088;1
"économie";1;1;1;0
"svp";1;1;0,84;0,003
"milliard";1;1;0,861;0
"cacher";1;1;0;0,391
"national";1;1;1;0
"bout";1;1;1;0
"bcp";1;1;0,495;0
"étonner";1;1;1;0
"produire";1;1;1;0
"fortune";1;1;1;0
"soir";1;0,031;1;0,031
"moyenne";1;1;1;0
"emji_deux_coeurs";0;1;1;1
"économique";1;1;0,003;0
"âme";0;1;1;1
"parole";1;1;0;0,028
"emji_biceps_contracté";0;1;1;1
"prouver";1;1;0,008;0
"fédéral";1;1;0;0
"bosser";1;1;1;0
"bonjour";1;1;1;0
"personnel";1;1;1;0
"emji_ok";0;1;1;1
"élève";1;1;1;0
"refuser";1;1;0;0
"privé";1;1;1;0
"italien";1;0;1;1
"débat";1;1;1;0
"élastique";0;1;1;1
"retour";1;1;1;0
"emji_visage_qui_fait_un_câlin";0;0,706;1;1
"vivant";1;1;1;0
"tirer";1;1;0;0,001
"emji_visage_souriant";0,013;0,036;1;1
"adorable";0;1;1;1
"soutien";1;1;0;1
"oser";1;1;0,551;0
"énergie";1;1;1;0
"moitié";1;1;1;0
"etait";1;1;1;0
"chaud";1;0;1;1
"arabe";1;1;0;1
"soin";1;1;1;0
"financer";1;1;0;0
"phrase";1;1;1;0
"forme";1;1;1;0
"démocratie";1;1;0;1
"douche";1;0;1;1
"nombreux";1;1;0,256;0
"fait";1;1;0,041;0
"emji_renard";0;1;1;1
"banque";1;1;1;0
"mesure";1;1;0,006;0
"udc";1;1;1;0
"total";1;1;0;0,006
"lien";1;1;0,664;0
"couple";1;1;1;0
"changement";1;1;1;0
"user";1;1;0;0,294
"région";1;1;0,018;0,002
"retourner";1;1;0,012;0
"responsable";1;1;0;0
"général";1;1;1;0
"ensemble";1;1;0,488;0
"décider";1;1;0,001;0
"condition";1;1;0,054;0
"endroit";1;1;1;0
"beauté";0;1;1;1
"origine";1;1;1;0
"neige";1;0;1;1
"forcément";1;1;1;0
"coûter";1;1;1;0
"autoriser";1;1;0;1
"prison";1;1;0;1
"musulman";1;1;0;1
"jeunesse";0,437;1;1;0
"compter";1;1;0,976;0
"américain";1;1;0;0
"pro";1;1;0;1
"millier";1;1;0;1
"ordre";1;1;0;1
"intéresser";1;1;1;0
"gamin";1;1;1;0
"capable";1;1;1;0
"proposer";1;1;1;0
"prime";1;1;1;0
"impression";1;1;1;0
"final";1;1;1;0
"emji_visage_avec_un_léger_sourire";1;1;0,204;0,002
"dangereux";1;1;1;0
"comparer";1;1;0,678;0
"client";1;1;1;0
"renseigner";1;1;0;0
"proche";1;1;1;0
"coût";1;1;1;0
"charger";1;1;0,554;0
"marché";1;1;1;0
"horreur";1;0;0,004;1
"date";1;1;1;0
"chien";1;1;1;0
"réussir";1;1;1;0
"georges";0;1;1;1
"commettre";1;1;0;1
"emji_visage_avec_un_sourire_malin";1;0;0,426;1
"imposer";1;1;0,642;0
"évoluer";1;1;1;0
"ridicule";1;1;1;0
"planète";1;1;1;0
"massacre";1;1;0;1
"limite";1;1;1;0
"film";1;0,718;1;0,018
"prof";1;0,674;1;0
"participer";1;1;0;0
"obligatoire";1;1;1;0
"emploi";1;1;1;0
"réduire";1;1;1;0
"message";1;1;0,981;0
"emji_colombe";0;1;1;1
"témoignage";0;1;1;1
"titre";1;1;0,554;0
"souci";1;1;1;0
"militaire";1;1;0;0,279
"disparaître";1;1;1;0
"choquer";1;1;1;0
"émission";1;1;1;0
"p";1;0;1;1
"matin";1;1;1;0
"maman";1;0,73;1;0,007
"internet";1;1;1;0
"erreur";1;1;1;0
"certainement";1;1;1;0
"pleurer";1;0;0,692;1
"fête";0;1;1;1
"considérer";1;1;0,044;0
"accueillir";1;1;0;0,004
"sympa";1;1;1;0,001
"italie";1;0;1;1
"fils";1;0,012;1;0,116
"fier";0,042;1;1;0,249
"téléphone";1;1;1;0
"match";1;1;1;0
"projet";1;1;1;0
"pain";1;1;1;0
"calcul";1;1;1;0
"mental";1;1;1;0
"intelligent";1;1;1;0
"expression";1;1;1;0
"climatique";1;1;1;0
"bientôt";1;1;1;0
"attaquer";1;1;0;0,748
"retraite";1;1;1;0
"pensée";1;1;1;0
"monter";1;1;1;0
"justifier";1;1;0;0,094
"déranger";1;1;0,747;0
"apporter";1;1;0,826;0
"opinion";1;1;0,173;0
"copain";1;1;1;0,083
"conscience";1;1;0,767;0
"plaire";1;1;1;0
"finalement";1;1;1;0
"courir";1;1;1;0
"commun";1;1;1;0
"fumer";1;0,967;1;0
"etre";1;1;1;0
"emji_visage_soulagé";0,422;0,048;1;1
"emji_notes_de_musique";0;1;1;1
"course";1;1;1;0
"emji_coeur_blanc";0;1;1;1
"rouler";1;1;1;0
"prêt";1;1;1;0
"courant";1;1;0,018;0
"actuellement";1;1;0,767;0
"emji_yeux";1;0;1;1
"emji_visage_avec_une_main_sur_la_bouche";1;0;1;1
"compliqué";1;1;1;0
"boulot";1;1;1;0
"atteindre";1;1;1;0
"acte";1;1;0;1
"sud";1;1;0,161;0
"responsabilité";1;1;0,117;0
"juger";1;1;0,002;0
"emji_visage_qui_rougit";1;0;1;1
"emji_mains_en_prière_peau_moyennement_claire";0;1;1;1
"carte";1;1;1;0
"assurer";1;1;1;0
"violent";1;1;0;0
"sacré";0,218;0;1;1
"rêve";0,735;1;1;0,496
"direct";1;1;0,11;0
"consommation";1;1;1;0
"action";1;1;0;0,037
"vacance";1;0,371;1;0
"présenter";1;1;0,199;0
"musique";1;1;1;0
"désolé";1;0,306;1;0,002
"décision";1;1;0,002;0
"critiquer";1;1;0,179;0
"gérer";1;1;0,442;0
"emji_pouce_vers_le_haut_peau_claire";0;0,009;1;1
"bloquer";1;1;0;0
"utile";1;1;1;0
"ressembler";1;0;1;1
"nuit";1;1;1;0
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";1;0;1;1
"danger";1;1;0;0
"criminel";1;1;0;1
"chrétien";1;1;0;1
"manif";1;1;0;1
"habitude";1;1;1;0
"dépendre";1;1;1;0
"vol";1;1;0,931;0
"ps";1;0,013;0,574;0,358
"lier";1;1;1;0
"inventer";1;0;1;0,224
"employé";1;1;1;0
"dépasser";1;1;1;0
"assumer";1;1;0,003;0
"lac";1;0;1;1
"frais";1;1;1;0
"cesser";1;1;0;1
"cerveau";1;1;1;0
"bête";1;1;1;0
"zone";1;1;0,04;0
"quitter";1;1;0,5;0
"enlever";1;1;0,684;0
"effort";1;1;1;0
"couleur";1;0,503;1;0
"cool";0,053;1;1;0,09
"président";1;1;0;1
"leçon";0;1;1;0,29
"emji_visage_festif";0;1;1;1
"directement";1;1;0;0
"critique";1;1;0,5;0
"énorme";1;1;1;0
"vélo";1;1;1;0
"vote";1;1;0,43;0
"rare";1;1;1;0
"raconter";1;1;0,724;0
"papier";1;0;1;1
"héritage";1;1;1;0
"emji_visage_pensif";1;1;1;0
"billet";1;1;1;0
"affaire";1;1;0,005;0
"ya";1;1;1;0
"sauvage";1;1;1;0
"passage";1;1;1;0
"foot";1;1;1;0
"emji_visage_avec_lunettes_de_soleil";0;1;1;1
"doigt";1;1;1;0
"vaudois";1;0;1;1
"remarquer";1;1;1;0
"impossible";1;1;1;0
"essentiel";1;1;0,889;0
"cheveu";1;0;1;1
"avance";1;1;0,304;0
"principe";1;1;0,465;0
"loyer";1;1;1;0
"gosse";1;1;1;0
"free";0,489;1;0;1
"scientifique";1;1;1;0
"marier";1;0;1;1
"découvrir";1;1;1;0
"village";1;1;0,584;0,001
"tour";1;1;0,38;0
"nécessaire";1;1;1;0
"conflit";1;1;0;1
"augmentation";1;1;1;0
"transport";1;1;1;0
"post";1;1;1;0
"plan";1;1;0;1
"inutile";1;1;0,624;0
"emji_visage_souriant_avec_auréole";0;0,468;1;1
"emji_tête_de_fou";1;0;1;1
"dénoncer";1;1;0;1
"soigner";1;1;0,171;0
"frontière";1;1;0;0
"fameux";1;0,001;0,148;1
"emji_applaudissements_peau_moyennement_claire";0;1;1;1
"afrique";1;1;0;0
"voie";1;1;1;0
"soleil";1;0;1;0,866
"siècle";1;1;0,002;0,001
"pousser";1;1;1;0
"mentalité";1;1;1;0
"engager";1;1;1;0
"campagne";1;1;1;0
"autorité";1;1;0;1
"élevé";1;1;1;0
"mouvement";1;1;0;0,359
"libérer";1;1;0;1
"jean";1;0;1;1
"degré";1;0;1;0,292
"conseil";1;1;0,936;0
"bouger";1;1;1;0
"appliquer";1;1;0,38;0
"réflexion";1;1;1;0
"nourriture";1;1;0,72;0
"gratuit";1;1;1;0
"éduquer";1;1;1;0
"présent";1;1;1;0
"magasin";1;1;1;0
"inquiéter";1;1;0,115;0
"emji_applaudissements_peau_claire";0;1;1;1
"caissier";1;1;1;0
"accès";1;1;1;0
"polluer";1;1;1;0
"plastique";1;0,594;1;0
"malade";1;1;1;0
"emji_trèfle_à_quatre_feuilles";0;1;1;1
"emji_singe_ne_rien_voir";1;0;1;1
"conséquence";1;1;0;0
"chf";1;1;1;0
"bizarre";1;1;0,004;0,113
"apparemment";1;1;1;0
"réellement";1;1;0,275;0
"reposer";0;1;1;1
"honteux";1;1;0;0,359
"excuser";1;1;0;0
"emji_mains_qui_forment_un_coeur";0;1;1;1
"condamner";1;1;0;1
"supporter";1;1;0,003;0
"adapter";1;1;1;0
"supprimer";1;1;1;0
"rôle";1;1;0,001;0
"perte";1;1;1;0
"peau";1;1;1;0
"onu";1;1;0;1
"goût";1;1;1;0
"genocide";1;1;0;1
"gauchiste";1;1;0,075;0
"emji_visage_grimaçant";1;0;1;1
"emji_rose";0;1;1;1
"emji_coeur_étincelant";0;1;1;1
"bande";1;1;0;1
"accident";1;1;1;0
"sauter";1;1;1;0
"sac";1;0;1;0,523
"milieu";1;1;1;0
"illégal";1;1;0;1
"attaque";1;1;0;1
"table";1;1;1;0
"sioniste";1;1;0;1
"probablement";1;1;1;0
"médecin";1;1;1;0
"féminin";1;1;1;0
"conseiller";1;1;0;0
"vaud";1;1;1;0
"répéter";1;1;0,302;0
"recherche";1;1;1;0
"période";1;1;1;0,003
"hôpital";1;1;0,002;0
"emji_visage_qui_regarde_entre_ses_doigts";1;0;1;1
"drogue";1;1;0,534;0
"dos";1;0,477;1;0,003
"contrôle";1;1;0;0
"comportement";1;1;0,782;0
"bain";1;0;1;1
"sorte";1;1;1;0
"régime";1;1;0;0,024
"paraître";1;1;1;0
"jeter";1;1;1;0
"informer";1;1;0,003;0
"i";0;0,321;0,475;1
"gueule";1;0;1;1
"chou";0;1;1;1
"remplir";1;1;1;0
"légal";1;1;0;0,476
"intelligence";1;1;1;0
"connaissance";1;1;1;0
"confirmer";1;1;0,223;0,009
"boire";1;0;1;0,548
"unique";1;1;1;0
"taux";1;1;1;0
"mari";1;0,397;1;0
"jurer";1;0;1;1
"futur";1;1;1;0
"emji_tête_à_l";1;1;1;0
"construire";1;1;0,055;0
"art";1;1;0,501;0
"pur";1;1;1;0
"objet";1;1;1;0
"climat";1;1;1;0
"professionnel";1;1;1;0
"notamment";1;1;0,003;0
"méchant";1;1;0,348;0
"frère";1;1;0;0,08
"expérience";1;1;1;0
"connerie";1;1;1;0
"combat";1;1;0,043;0
"émouvant";0;1;1;1
"wesh";1;0,498;1;0
"remplacer";1;1;1;0
"parfaire";1;0,13;1;0,08
"minute";1;1;1;0
"détester";1;0;0,606;1
"contrairement";1;1;0,017;0
"centre";1;1;1;0
"avancer";1;1;1;0
"wow";0;1;1;1
"ukraine";1;1;0;1
"montagne";1;1;1;0
"espèce";1;1;1;0
"doux";0,01;1;1;0,788
"1er";1;0,116;1;0,255
"voyage";1;1;1;0
"style";1;0,001;1;0,877
"religion";1;1;0;0,001
"local";1;1;1;0
"définition";1;1;0;0,004
"café";1;0,773;1;0
"richesse";1;1;1;0
"protection";1;1;0,022;0
"poule";1;1;1;0
"habiller";1;0,657;1;0
"emji_visage_qui_vomit";1;0;1;1
"emji_visage_de_geek";1;0;1;1
"bois";1;0,062;1;0,493
"avion";1;1;1;0
"visiblement";1;1;1;0
"visage";1;1;0;1
"tromper";1;1;1;0
"simplicité";0;1;1;1
"ligne";1;1;0,563;0
"consommer";1;1;1;0
"acteur";0;1;1;1
"territoire";1;1;0;1
"patron";1;1;1;0
"insulter";1;1;1;0
"balle";1;1;0;1
"avantage";1;1;1;0
"anglais";1;1;0,46;0
"étonnant";1;1;0,103;0
"rouge";1;0,043;1;0,07
"organiser";1;1;0;1
"nord";1;0,103;0,031;0,763
"langage";1;1;1;0
"lancer";1;1;0;0,148
"h";1;1;1;0
"complice";1;1;0;1
"obtenir";1;1;1;0
"neutre";1;1;0;1
"ménage";1;1;1;0
"innocent";1;1;0;1
"hygiène";1;0;1;1
"vocabulaire";1;1;1;0
"souffrir";1;1;0,71;0
"salle";1;0;1;1
"habitant";1;1;0,283;0
"espace";1;1;1;0
"développer";1;1;1;0
"reprendre";1;1;0;0,542
"quotidien";1;1;0,687;0
"prévoir";1;1;0,034;0
"méthode";1;1;1;0
"milliardaire";1;1;1;0
"emji_visage_souriant_avec_de_grands_yeux";0;1;1;1
"constater";1;1;0,733;0
"statistique";1;1;1;0
"relever";1;1;1;0
"plaque";1;1;1;0
"mentionner";1;1;0,006;0
"largement";1;1;0,17;0
"investir";1;1;1;0
"genevois";1;0,082;1;0,021
"budget";1;1;1;0
"vision";1;1;1;0
"tristesse";1;1;1;0
"taper";1;1;1;0
"sagesse";0;1;1;1
"octobre";1;1;0;1
"jésus";1;1;1;0,104
"installer";1;0;0,595;1
